Best trial value: 0.06463124061801206
Best hyperparameters: {'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 8.423477080271497e-05, 'num_neurons': 146, 'l1_reg': 0.0005181947193645403, 'l2_reg': 9.731243450898303e-06}

All trial results:
Trial 0: Value=0.27558485586377646, Params={'optimizer': 'SGD', 'activation_function': 'silu', 'learning_rate': 0.0005857058549580344, 'num_neurons': 14, 'l1_reg': 5.406238592074009e-05, 'l2_reg': 0.22678087292035196}
Trial 24: Value=0.33679886555034666, Params={'optimizer': 'Ftrl', 'activation_function': 'mish', 'learning_rate': 0.0002000365486547223, 'num_neurons': 71, 'l1_reg': 1.7669709523114823e-07, 'l2_reg': 4.879028838827898e-05}
Trial 25: Value=0.1587803055817645, Params={'optimizer': 'Lion', 'activation_function': 'relu', 'learning_rate': 7.17302850112963e-05, 'num_neurons': 124, 'l1_reg': 7.965984074373727e-05, 'l2_reg': 0.08837923747815515}
Trial 26: Value=0.6777581605473367, Params={'optimizer': 'SGD', 'activation_function': 'sigmoid', 'learning_rate': 3.9068768705780195e-05, 'num_neurons': 200, 'l1_reg': 0.003971449485982478, 'l2_reg': 0.003813130225297246}
Trial 27: Value=1.0029990093265877, Params={'optimizer': 'AdamW', 'activation_function': 'elu', 'learning_rate': 0.00017180849768953083, 'num_neurons': 84, 'l1_reg': 2.098116298976577, 'l2_reg': 0.0004899626743671229}
Trial 28: Value=0.12625229491556714, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.00038895494392929075, 'num_neurons': 141, 'l1_reg': 6.329778794060363e-07, 'l2_reg': 0.0163911686560537}
Trial 29: Value=0.27920301914997186, Params={'optimizer': 'SGD', 'activation_function': 'relu', 'learning_rate': 0.0005900671418199978, 'num_neurons': 5, 'l1_reg': 0.00023098351400162762, 'l2_reg': 0.22686786512329174}
Trial 30: Value=0.1616683820333698, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.00011905237621941608, 'num_neurons': 31, 'l1_reg': 1.6255233155190232e-05, 'l2_reg': 0.00014865798854457008}
Trial 31: Value=0.12517705633909978, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.00039753458558583655, 'num_neurons': 154, 'l1_reg': 7.012991123500964e-07, 'l2_reg': 0.011111636055489005}
Trial 32: Value=0.1251163949975161, Params={'optimizer': 'Adamax', 'activation_function': 'elu', 'learning_rate': 0.0004569916121139249, 'num_neurons': 107, 'l1_reg': 5.966204291443182e-08, 'l2_reg': 0.004177138668175458}
Trial 33: Value=0.33480973227743577, Params={'optimizer': 'Ftrl', 'activation_function': 'silu', 'learning_rate': 0.00025610848981814325, 'num_neurons': 116, 'l1_reg': 5.718393937792422e-08, 'l2_reg': 0.0015292854884095433}
Trial 34: Value=0.1913610555947862, Params={'optimizer': 'AdamW', 'activation_function': 'elu', 'learning_rate': 0.0010299080308264301, 'num_neurons': 99, 'l1_reg': 8.122679948180191e-08, 'l2_reg': 0.11435801046062936}
Trial 35: Value=0.4891985343716803, Params={'optimizer': 'Adamax', 'activation_function': 'gelu', 'learning_rate': 8.713588211213209e-05, 'num_neurons': 64, 'l1_reg': 0.026216252064032792, 'l2_reg': 5.398795921607897}
Trial 36: Value=0.22634322021566802, Params={'optimizer': 'AdamW', 'activation_function': 'tanh', 'learning_rate': 0.005537614952358505, 'num_neurons': 96, 'l1_reg': 4.446760853193805e-06, 'l2_reg': 0.0001190800456880479}
Trial 37: Value=0.12466315206586165, Params={'optimizer': 'Lion', 'activation_function': 'sigmoid', 'learning_rate': 0.00013672602306811284, 'num_neurons': 19, 'l1_reg': 4.318336899595171e-05, 'l2_reg': 0.00570266871953987}
Trial 38: Value=0.11013165410082924, Params={'optimizer': 'Lion', 'activation_function': 'sigmoid', 'learning_rate': 5.624867359472848e-05, 'num_neurons': 19, 'l1_reg': 7.470530961507876e-05, 'l2_reg': 0.0004015770948930682}
Trial 39: Value=0.11412813828159336, Params={'optimizer': 'Lion', 'activation_function': 'sigmoid', 'learning_rate': 5.9662129626731745e-05, 'num_neurons': 11, 'l1_reg': 0.00014395877214098013, 'l2_reg': 1.2164616750153592e-05}
Trial 40: Value=0.12951847981052042, Params={'optimizer': 'Lion', 'activation_function': 'sigmoid', 'learning_rate': 5.29971019033083e-05, 'num_neurons': 10, 'l1_reg': 0.001660403271420428, 'l2_reg': 7.376031181548428e-06}
Trial 41: Value=0.17769751738227466, Params={'optimizer': 'Lion', 'activation_function': 'sigmoid', 'learning_rate': 2.7920245285247317e-05, 'num_neurons': 13, 'l1_reg': 0.00017565527868434043, 'l2_reg': 0.001092255449126377}
Trial 42: Value=0.12348572539972463, Params={'optimizer': 'Lion', 'activation_function': 'sigmoid', 'learning_rate': 6.980752731864143e-05, 'num_neurons': 8, 'l1_reg': 0.0017592426100670256, 'l2_reg': 3.865545277285625e-06}
Trial 43: Value=0.11711990637070879, Params={'optimizer': 'Lion', 'activation_function': 'sigmoid', 'learning_rate': 4.125529191394211e-05, 'num_neurons': 13, 'l1_reg': 0.0001409952891171419, 'l2_reg': 4.603153054403284e-05}
Trial 44: Value=0.2399269740019038, Params={'optimizer': 'Lion', 'activation_function': 'sigmoid', 'learning_rate': 1.7963716687213232e-05, 'num_neurons': 13, 'l1_reg': 0.00019013733901382146, 'l2_reg': 6.004380268727909e-05}
Trial 45: Value=0.15593405284031125, Params={'optimizer': 'Lion', 'activation_function': 'sigmoid', 'learning_rate': 4.076007174665835e-05, 'num_neurons': 16, 'l1_reg': 0.018337409596812317, 'l2_reg': 0.0002981674431325774}
Trial 46: Value=0.2982119148067381, Params={'optimizer': 'Adam', 'activation_function': 'sigmoid', 'learning_rate': 1.8792638117374203e-05, 'num_neurons': 22, 'l1_reg': 3.981898264002657e-05, 'l2_reg': 2.6922438579839224e-07}
Trial 47: Value=0.14695098001229223, Params={'optimizer': 'Lion', 'activation_function': 'mish', 'learning_rate': 5.7519038329710475e-05, 'num_neurons': 11, 'l1_reg': 1.006381030471711e-05, 'l2_reg': 3.081489089376411e-05}
Trial 48: Value=1.3869007628975236, Params={'optimizer': 'Adadelta', 'activation_function': 'sigmoid', 'learning_rate': 2.471036652843005e-05, 'num_neurons': 17, 'l1_reg': 0.000877277998178487, 'l2_reg': 3.6834414061411473e-07}
Trial 49: Value=0.27214493427889336, Params={'optimizer': 'Lion', 'activation_function': 'tanh', 'learning_rate': 1.3372916446800026e-05, 'num_neurons': 8, 'l1_reg': 8.088326897776394e-05, 'l2_reg': 9.060054385881047e-06}
Trial 50: Value=0.12980297213896527, Params={'optimizer': 'AdamW', 'activation_function': 'silu', 'learning_rate': 4.211601243538839e-05, 'num_neurons': 21, 'l1_reg': 0.0003276947615903024, 'l2_reg': 9.400135819022853e-05}
Trial 51: Value=0.8488200848341384, Params={'optimizer': 'Adagrad', 'activation_function': 'gelu', 'learning_rate': 9.32102938851994e-05, 'num_neurons': 27, 'l1_reg': 4.9783686207556116e-06, 'l2_reg': 0.00039450365928761955}
Trial 52: Value=0.1287906325819606, Params={'optimizer': 'Adam', 'activation_function': 'relu', 'learning_rate': 0.00024357592522318764, 'num_neurons': 12, 'l1_reg': 1.5359243592415043e-06, 'l2_reg': 0.0426427723876751}
Trial 53: Value=0.12737469253654649, Params={'optimizer': 'Lion', 'activation_function': 'sigmoid', 'learning_rate': 5.9948733509668026e-05, 'num_neurons': 15, 'l1_reg': 2.7474865620376964e-05, 'l2_reg': 2.5841896239376904e-06}
Trial 54: Value=0.7892141549836248, Params={'optimizer': 'Ftrl', 'activation_function': 'leaky_relu', 'learning_rate': 9.797087724644099e-05, 'num_neurons': 9, 'l1_reg': 0.00398260888289913, 'l2_reg': 0.0009436319451323986}
Trial 55: Value=0.23834135842159668, Params={'optimizer': 'RMSprop', 'activation_function': 'relu', 'learning_rate': 0.0001674326237141812, 'num_neurons': 6, 'l1_reg': 8.967686868138159e-05, 'l2_reg': 2.359076600315161e-05}
Trial 56: Value=0.6351645041628844, Params={'optimizer': 'SGD', 'activation_function': 'sigmoid', 'learning_rate': 0.0001302935462442233, 'num_neurons': 34, 'l1_reg': 1.1947624638077581e-05, 'l2_reg': 0.0001856306501114328}
Trial 57: Value=1.2936812445958104, Params={'optimizer': 'Adadelta', 'activation_function': 'sigmoid', 'learning_rate': 4.7004889448635945e-05, 'num_neurons': 170, 'l1_reg': 2.375275052280432e-06, 'l2_reg': 0.002097017352337743}
Trial 58: Value=0.528389102289046, Params={'optimizer': 'Lion', 'activation_function': 'mish', 'learning_rate': 7.228364700552064e-05, 'num_neurons': 45, 'l1_reg': 0.0008208727379466692, 'l2_reg': 89.014887916552}
Trial 59: Value=0.1196703199075272, Params={'optimizer': 'AdamW', 'activation_function': 'tanh', 'learning_rate': 3.325274651358927e-05, 'num_neurons': 27, 'l1_reg': 0.00230059881373685, 'l2_reg': 0.0064520722377598}
Trial 60: Value=1.14834002703805, Params={'optimizer': 'Adagrad', 'activation_function': 'relu', 'learning_rate': 0.00019786836665155457, 'num_neurons': 14, 'l1_reg': 6.743911881253092e-07, 'l2_reg': 0.05202289576559984}
Trial 61: Value=0.12875687762884633, Params={'optimizer': 'AdamW', 'activation_function': 'tanh', 'learning_rate': 3.0487756641534412e-05, 'num_neurons': 25, 'l1_reg': 0.006418415754119998, 'l2_reg': 0.0005453117406714125}
Trial 62: Value=0.12765717607622634, Params={'optimizer': 'AdamW', 'activation_function': 'tanh', 'learning_rate': 2.3382307940198756e-05, 'num_neurons': 40, 'l1_reg': 0.0018456253509452542, 'l2_reg': 0.009922799461384925}
Trial 63: Value=0.13192434126576338, Params={'optimizer': 'AdamW', 'activation_function': 'tanh', 'learning_rate': 3.4740293392758706e-05, 'num_neurons': 19, 'l1_reg': 0.00036708460604605156, 'l2_reg': 0.006821397612277249}
Trial 64: Value=0.283896611236965, Params={'optimizer': 'Adamax', 'activation_function': 'silu', 'learning_rate': 0.00010955170699474593, 'num_neurons': 29, 'l1_reg': 0.06241140187208819, 'l2_reg': 0.0021528942053517784}
Trial 65: Value=0.1177751793405456, Params={'optimizer': 'AdamW', 'activation_function': 'elu', 'learning_rate': 6.504532202617719e-05, 'num_neurons': 55, 'l1_reg': 0.00015717162215937507, 'l2_reg': 0.00023586810388190473}
Trial 66: Value=0.10872518131203612, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 7.822582706670496e-05, 'num_neurons': 58, 'l1_reg': 0.00017735762019472655, 'l2_reg': 1.1306228348846865e-05}
Trial 67: Value=0.11390514755771501, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 6.778270952020842e-05, 'num_neurons': 78, 'l1_reg': 0.00013941400401230284, 'l2_reg': 1.2082460754410012e-05}
Trial 68: Value=0.18019102014113328, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 0.00014131985116592934, 'num_neurons': 81, 'l1_reg': 2.1561387700258764e-05, 'l2_reg': 9.217544662231801e-06}
Trial 69: Value=0.10043641744795716, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 7.920051559108529e-05, 'num_neurons': 54, 'l1_reg': 0.0005551174425820607, 'l2_reg': 6.765025045018631e-07}
Trial 70: Value=0.10027678769794394, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 8.003870576314994e-05, 'num_neurons': 57, 'l1_reg': 0.0005541200232168115, 'l2_reg': 4.153057556253523e-08}
Trial 71: Value=0.10220230336146037, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 8.301518377946006e-05, 'num_neurons': 61, 'l1_reg': 0.0005507463599628414, 'l2_reg': 7.350607491415034e-08}
Trial 72: Value=0.09915034109897647, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 8.298528819221915e-05, 'num_neurons': 56, 'l1_reg': 0.0004649881088090651, 'l2_reg': 6.103775756525489e-08}
Trial 73: Value=0.10251054206208188, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 8.833201074971121e-05, 'num_neurons': 57, 'l1_reg': 0.00047160309620015886, 'l2_reg': 1.1952791005711784e-08}
Trial 74: Value=0.09756910264515016, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 9.058422380907958e-05, 'num_neurons': 55, 'l1_reg': 0.0005376915967652794, 'l2_reg': 1.0492715016665635e-08}
Trial 75: Value=0.09825546014428732, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 8.116720919267755e-05, 'num_neurons': 58, 'l1_reg': 0.0004858988023540138, 'l2_reg': 1.24612135522674e-08}
Trial 76: Value=0.10137619835050556, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 8.138896919825015e-05, 'num_neurons': 49, 'l1_reg': 0.0005630571341345793, 'l2_reg': 1.0927802323628143e-08}
Trial 77: Value=0.1251921995616033, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 0.00016409653098590054, 'num_neurons': 49, 'l1_reg': 0.010356470140113434, 'l2_reg': 5.781599059016248e-08}
Trial 78: Value=0.10791507697077472, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 0.00010416143686376785, 'num_neurons': 65, 'l1_reg': 0.0011647800542475945, 'l2_reg': 7.337096977686725e-08}
Trial 79: Value=0.11694562288335987, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 8.282551374162725e-05, 'num_neurons': 44, 'l1_reg': 0.003670252253313707, 'l2_reg': 1.4374287147629772e-08}
Trial 80: Value=0.10343349755108429, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 0.00020949995315811595, 'num_neurons': 50, 'l1_reg': 0.0006254205904847407, 'l2_reg': 9.870440775068363e-08}
Trial 81: Value=0.09507016550783587, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 8.177043480046492e-05, 'num_neurons': 59, 'l1_reg': 0.00044465543370436476, 'l2_reg': 1.2891745367648293e-08}
Trial 82: Value=0.10051940126734095, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 0.00011442669013506715, 'num_neurons': 37, 'l1_reg': 0.0004488182811953785, 'l2_reg': 3.111345487419293e-08}
Trial 83: Value=0.10428550319978985, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 0.00011269312570662043, 'num_neurons': 36, 'l1_reg': 0.00028715541893267223, 'l2_reg': 2.0618179488668435e-08}
Trial 84: Value=0.10827517071359045, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 4.7118453110500304e-05, 'num_neurons': 71, 'l1_reg': 0.0013998372378104269, 'l2_reg': 4.228788710830287e-08}
Trial 85: Value=0.1149691382247524, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 0.00015119562482822092, 'num_neurons': 41, 'l1_reg': 0.0026223087895416095, 'l2_reg': 1.4671808724207784e-07}
Trial 86: Value=0.12216414482964962, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 4.9528694104977044e-05, 'num_neurons': 73, 'l1_reg': 0.005374667021209001, 'l2_reg': 2.6191427847966414e-08}
Trial 87: Value=0.126275559078987, Params={'optimizer': 'RMSprop', 'activation_function': 'elu', 'learning_rate': 0.0002833780753784606, 'num_neurons': 50, 'l1_reg': 0.010611930150354602, 'l2_reg': 5.49903082481892e-07}
Trial 88: Value=0.08745533676370605, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00012140035464686988, 'num_neurons': 33, 'l1_reg': 0.0010029888415323044, 'l2_reg': 1.5038055712750668e-07}
Trial 89: Value=0.12706399911964614, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00012189935835232858, 'num_neurons': 32, 'l1_reg': 0.01918339883342652, 'l2_reg': 2.074598405109798e-07}
Trial 90: Value=0.08834528645067806, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00019096436578986754, 'num_neurons': 38, 'l1_reg': 0.0009475683374206478, 'l2_reg': 3.325133161511366e-08}
Trial 91: Value=0.08325084526496303, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00010572019181675804, 'num_neurons': 38, 'l1_reg': 0.0011051745756690556, 'l2_reg': 3.863742703593322e-08}
Trial 92: Value=0.08477622663732932, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00019022290449445374, 'num_neurons': 54, 'l1_reg': 0.0012202468902787254, 'l2_reg': 7.633979986581138e-07}
Trial 93: Value=0.08705835825622626, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00018175682670439438, 'num_neurons': 40, 'l1_reg': 0.0009720617161664316, 'l2_reg': 1.542766457655076e-07}
Trial 94: Value=0.08733727472672033, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.0002002853247133323, 'num_neurons': 43, 'l1_reg': 0.001052567436695133, 'l2_reg': 1.4202794226080683e-07}
Trial 95: Value=0.08656182751816906, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00018224988733511513, 'num_neurons': 45, 'l1_reg': 0.0011239767161499773, 'l2_reg': 1.691446774239736e-07}
Trial 96: Value=0.08694505405449825, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.0003000755242501654, 'num_neurons': 39, 'l1_reg': 0.001241188944123184, 'l2_reg': 1.2826532419045822e-07}
Trial 97: Value=0.30009903682680245, Params={'optimizer': 'SGD', 'activation_function': 'leaky_relu', 'learning_rate': 0.0003553630602376525, 'num_neurons': 40, 'l1_reg': 0.0011682107047337217, 'l2_reg': 1.420954106902346e-07}
Trial 98: Value=0.10624704571845728, Params={'optimizer': 'Adam', 'activation_function': 'leaky_relu', 'learning_rate': 0.0002767388543325463, 'num_neurons': 44, 'l1_reg': 0.0029002975291409373, 'l2_reg': 3.9760268512275356e-07}
Trial 99: Value=1.0000104807711, Params={'optimizer': 'Ftrl', 'activation_function': 'leaky_relu', 'learning_rate': 0.00018778020860509768, 'num_neurons': 34, 'l1_reg': 0.03839860494151651, 'l2_reg': 1.3589056757284439e-06}
Trial 100: Value=0.2693033863244909, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.0005271580079535163, 'num_neurons': 30, 'l1_reg': 0.27375560954128697, 'l2_reg': 2.4777860425141268e-06}
Trial 101: Value=0.08769583150489829, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00022309297066288233, 'num_neurons': 38, 'l1_reg': 0.001140943831564807, 'l2_reg': 1.293007630442917e-07}
Trial 102: Value=0.1129970357047833, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00022858575913183962, 'num_neurons': 38, 'l1_reg': 0.006691019082465985, 'l2_reg': 1.7463619932001435e-07}
Trial 103: Value=0.09369431878314173, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00030864282137154167, 'num_neurons': 45, 'l1_reg': 0.0012477467269423508, 'l2_reg': 2.9541550556824744e-07}
Trial 104: Value=0.09138415388030642, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00029802922152631335, 'num_neurons': 34, 'l1_reg': 0.0009696441792739967, 'l2_reg': 2.7482328854858495e-07}
Trial 105: Value=0.4586582358400449, Params={'optimizer': 'Adagrad', 'activation_function': 'leaky_relu', 'learning_rate': 0.0004285553593207465, 'num_neurons': 33, 'l1_reg': 0.0009523804728286982, 'l2_reg': 7.925304508976517e-07}
Trial 106: Value=1.4598644185879701, Params={'optimizer': 'Adadelta', 'activation_function': 'leaky_relu', 'learning_rate': 0.0008997378215785072, 'num_neurons': 28, 'l1_reg': 0.002463234099407867, 'l2_reg': 1.2233278928692512e-07}
Trial 107: Value=0.09452824768677738, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00024063363089663444, 'num_neurons': 25, 'l1_reg': 0.00026623569432235685, 'l2_reg': 4.5132291842873795e-07}
Trial 108: Value=0.09652664988977105, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00020882399282847798, 'num_neurons': 36, 'l1_reg': 0.0019072317916337801, 'l2_reg': 1.0533590504391868e-07}
Trial 109: Value=0.1059566262612751, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00017049047799312376, 'num_neurons': 31, 'l1_reg': 0.004515656258743599, 'l2_reg': 2.5510270298268534e-07}
Trial 110: Value=0.23357858434024545, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.0005136177153832422, 'num_neurons': 42, 'l1_reg': 5.400621563546681e-05, 'l2_reg': 9.172011095955258e-07}
Trial 111: Value=0.08664264117918914, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.0002814586316609661, 'num_neurons': 39, 'l1_reg': 0.0010128117120602332, 'l2_reg': 3.556265785458115e-07}
Trial 112: Value=0.08718517931352465, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.0003120953705483626, 'num_neurons': 38, 'l1_reg': 0.0009543987327022192, 'l2_reg': 2.0168601342966006e-06}
Trial 113: Value=0.11877029414163819, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00036579365646908927, 'num_neurons': 38, 'l1_reg': 0.008398069881109494, 'l2_reg': 2.116385609197876e-06}
Trial 114: Value=1.0023724566717422, Params={'optimizer': 'RMSprop', 'activation_function': 'leaky_relu', 'learning_rate': 0.00014710566465966926, 'num_neurons': 46, 'l1_reg': 15.723403072636353, 'l2_reg': 4.414530529872736e-08}
