Best trial value: 0.12663267817762613
Best hyperparameters: {'n_estimators': 417, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}

All trial results:
Trial 0: Value=0.18627903705360715, Params={'n_estimators': 373, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 1.0}
Trial 66: Value=0.12828562177211902, Params={'n_estimators': 320, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 67: Value=0.1645617370692477, Params={'n_estimators': 382, 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.5}
Trial 68: Value=0.22611573313792802, Params={'n_estimators': 451, 'max_depth': 14, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 'sqrt'}
Trial 69: Value=0.12740584581376746, Params={'n_estimators': 550, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 70: Value=0.1400627023039054, Params={'n_estimators': 722, 'max_depth': 6, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 1.0}
Trial 71: Value=0.12738840134862142, Params={'n_estimators': 770, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 72: Value=0.1277062628249265, Params={'n_estimators': 819, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 73: Value=0.12722959850789317, Params={'n_estimators': 889, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 74: Value=0.12742978851835085, Params={'n_estimators': 984, 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 75: Value=0.12829851186876473, Params={'n_estimators': 904, 'max_depth': 14, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 76: Value=0.12768099149397483, Params={'n_estimators': 866, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 77: Value=0.12810962959334585, Params={'n_estimators': 938, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 78: Value=0.12740333809650453, Params={'n_estimators': 605, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 79: Value=0.12955598932558884, Params={'n_estimators': 487, 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.5}
Trial 80: Value=0.2740273216420151, Params={'n_estimators': 947, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'log2'}
Trial 81: Value=0.12738948213630233, Params={'n_estimators': 735, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 82: Value=0.12728589304621832, Params={'n_estimators': 846, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 83: Value=0.127258729188549, Params={'n_estimators': 836, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 84: Value=0.1273506527360895, Params={'n_estimators': 844, 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 85: Value=0.12790361053743146, Params={'n_estimators': 881, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 86: Value=0.12771015721679466, Params={'n_estimators': 921, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 87: Value=0.2022775643127255, Params={'n_estimators': 802, 'max_depth': 9, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
Trial 88: Value=0.12810241599520336, Params={'n_estimators': 968, 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 89: Value=0.1284138901488404, Params={'n_estimators': 707, 'max_depth': 14, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 1.0}
Trial 90: Value=0.1282867573236244, Params={'n_estimators': 866, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 91: Value=0.12735871685330047, Params={'n_estimators': 787, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 92: Value=0.12732776281179334, Params={'n_estimators': 635, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 93: Value=0.1289533321215731, Params={'n_estimators': 825, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5}
Trial 94: Value=0.12727356332817866, Params={'n_estimators': 673, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 95: Value=0.12795941782437603, Params={'n_estimators': 750, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 96: Value=0.12733243313727927, Params={'n_estimators': 671, 'max_depth': 15, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 97: Value=0.13142522390934905, Params={'n_estimators': 698, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.5}
Trial 98: Value=0.12914470243417375, Params={'n_estimators': 809, 'max_depth': 14, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 99: Value=0.1293533381780315, Params={'n_estimators': 899, 'max_depth': 13, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 100: Value=0.12811693161790372, Params={'n_estimators': 720, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 101: Value=0.12755493201755363, Params={'n_estimators': 411, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 102: Value=0.12737044195888245, Params={'n_estimators': 783, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 103: Value=0.12725815973711066, Params={'n_estimators': 529, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 104: Value=0.12804813108049176, Params={'n_estimators': 577, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 105: Value=0.12816811985453827, Params={'n_estimators': 632, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 106: Value=0.2247093311745683, Params={'n_estimators': 125, 'max_depth': 14, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2'}
Trial 107: Value=0.13697114248164308, Params={'n_estimators': 677, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.5}
Trial 108: Value=0.1281346493930963, Params={'n_estimators': 839, 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 109: Value=0.32003160070810427, Params={'n_estimators': 649, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
Trial 110: Value=0.13413744973423636, Params={'n_estimators': 750, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 0.5}
Trial 111: Value=0.12731083361901518, Params={'n_estimators': 537, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 112: Value=0.12730754614354764, Params={'n_estimators': 440, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 113: Value=0.1282295072954271, Params={'n_estimators': 492, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 114: Value=0.12731308717976195, Params={'n_estimators': 519, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5}
Trial 115: Value=0.12802208714012805, Params={'n_estimators': 924, 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 1.0}
Trial 116: Value=0.12716644837810154, Params={'n_estimators': 606, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 117: Value=0.12714275191416716, Params={'n_estimators': 601, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 118: Value=0.12789434326037316, Params={'n_estimators': 604, 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 119: Value=0.1480803050362349, Params={'n_estimators': 618, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 0.8}
Trial 120: Value=0.1275685409819954, Params={'n_estimators': 568, 'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 121: Value=0.1270322301511953, Params={'n_estimators': 699, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 122: Value=0.12683321265797998, Params={'n_estimators': 690, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 123: Value=0.12679796123396128, Params={'n_estimators': 707, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 124: Value=0.12679520636418304, Params={'n_estimators': 587, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 125: Value=0.1272092442725198, Params={'n_estimators': 538, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 126: Value=0.12678061271477034, Params={'n_estimators': 590, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 127: Value=0.12710962621589206, Params={'n_estimators': 593, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 128: Value=0.1277230989015118, Params={'n_estimators': 554, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 129: Value=0.1279072735806574, Params={'n_estimators': 601, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 130: Value=0.1270638002504082, Params={'n_estimators': 588, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 131: Value=0.12707759970546786, Params={'n_estimators': 587, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 132: Value=0.1270638002504082, Params={'n_estimators': 588, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 133: Value=0.12704996075345273, Params={'n_estimators': 589, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 134: Value=0.1270273254431191, Params={'n_estimators': 574, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 135: Value=0.12707494576885928, Params={'n_estimators': 583, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 136: Value=0.12703745802688757, Params={'n_estimators': 586, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 137: Value=0.1278111993684932, Params={'n_estimators': 582, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 138: Value=0.12698381286830973, Params={'n_estimators': 642, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 139: Value=0.16532402362468113, Params={'n_estimators': 630, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 8, 'max_features': 0.8}
Trial 140: Value=0.12869312165952027, Params={'n_estimators': 564, 'max_depth': 10, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 141: Value=0.12707759970546786, Params={'n_estimators': 587, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 142: Value=0.12703665133049102, Params={'n_estimators': 648, 'max_depth': 11, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 143: Value=0.1269131010638149, Params={'n_estimators': 652, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 144: Value=0.12689043301026912, Params={'n_estimators': 656, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 145: Value=0.1269178292127803, Params={'n_estimators': 651, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 146: Value=0.12694705335597087, Params={'n_estimators': 648, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 147: Value=0.12692869616440136, Params={'n_estimators': 649, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 148: Value=0.127932627061611, Params={'n_estimators': 696, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 149: Value=0.12692777578697467, Params={'n_estimators': 650, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 150: Value=0.1269064257759418, Params={'n_estimators': 657, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 151: Value=0.12702297222311834, Params={'n_estimators': 663, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 152: Value=0.12694561389714068, Params={'n_estimators': 660, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 153: Value=0.12689043301026906, Params={'n_estimators': 656, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 154: Value=0.1268849017458437, Params={'n_estimators': 643, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 155: Value=0.12782025032871627, Params={'n_estimators': 679, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 156: Value=0.12681068709011759, Params={'n_estimators': 715, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 157: Value=0.12797749890604337, Params={'n_estimators': 717, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 158: Value=0.17294729367487785, Params={'n_estimators': 625, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 10, 'max_features': 0.8}
Trial 159: Value=0.12689747077216199, Params={'n_estimators': 680, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 160: Value=0.12774878187006822, Params={'n_estimators': 735, 'max_depth': 12, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 161: Value=0.12689747077216199, Params={'n_estimators': 680, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 162: Value=0.12688971850938258, Params={'n_estimators': 685, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 163: Value=0.1269075022643286, Params={'n_estimators': 683, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 164: Value=0.12686491602211025, Params={'n_estimators': 687, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 165: Value=0.12680291845644429, Params={'n_estimators': 713, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 166: Value=0.1268419059275553, Params={'n_estimators': 692, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 167: Value=0.1267942955813378, Params={'n_estimators': 709, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 168: Value=0.1391962876883357, Params={'n_estimators': 708, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 0.8}
Trial 169: Value=0.12682987979206176, Params={'n_estimators': 734, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 170: Value=0.13170028666538644, Params={'n_estimators': 734, 'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 0.8}
Trial 171: Value=0.1268212248294615, Params={'n_estimators': 695, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
Trial 172: Value=0.12685361860988478, Params={'n_estimators': 764, 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 0.8}
