Best trial value: 0.1244856200368869
Best hyperparameters: {'alpha': 0.02023933552996029, 'l1_ratio': 0.9998149684868581}

All trial results:
Trial 0: Value=0.12911003560354253, Params={'alpha': 0.05905326958008103, 'l1_ratio': 0.8859554440922547}
Trial 71: Value=0.12461694603114504, Params={'alpha': 0.023346517396404674, 'l1_ratio': 0.8670202199937356}
Trial 72: Value=0.12530964619507237, Params={'alpha': 0.015381949445289785, 'l1_ratio': 0.8579435516571936}
Trial 73: Value=0.12798054725874822, Params={'alpha': 0.04898449261926107, 'l1_ratio': 0.9611529704224503}
Trial 74: Value=0.12465233746618713, Params={'alpha': 0.024226686782804496, 'l1_ratio': 0.913608244277713}
Trial 75: Value=0.1322324666182888, Params={'alpha': 0.006021388053727025, 'l1_ratio': 0.9027212846948885}
Trial 76: Value=0.14466265578356496, Params={'alpha': 0.1879487239937946, 'l1_ratio': 0.16511564728957473}
Trial 77: Value=0.1250934084653272, Params={'alpha': 0.028682256264825054, 'l1_ratio': 0.9325374164321827}
Trial 78: Value=0.126450592486923, Params={'alpha': 0.013233512045805251, 'l1_ratio': 0.7365333544001762}
Trial 79: Value=0.13260551343549673, Params={'alpha': 0.08928303262588135, 'l1_ratio': 0.6847566819944898}
Trial 80: Value=0.1246399551167336, Params={'alpha': 0.0220475872579702, 'l1_ratio': 0.8584258501555408}
Trial 81: Value=0.12464251067338639, Params={'alpha': 0.0220399589948881, 'l1_ratio': 0.8551449317522576}
Trial 82: Value=0.12765535707955658, Params={'alpha': 0.04953368500755417, 'l1_ratio': 0.8580434029624092}
Trial 83: Value=0.12599896593176083, Params={'alpha': 0.03444577880503258, 'l1_ratio': 0.9700323672973648}
Trial 84: Value=0.1295423356708637, Params={'alpha': 0.008551190730426633, 'l1_ratio': 0.7790366486801568}
Trial 85: Value=0.12515187988929388, Params={'alpha': 0.015194601008759913, 'l1_ratio': 0.9153841241256903}
Trial 86: Value=0.16964970686807165, Params={'alpha': 0.02042099686872036, 'l1_ratio': 0.0037980657192776546}
Trial 87: Value=0.13379263495244864, Params={'alpha': 0.005514626225524748, 'l1_ratio': 0.8827143528180303}
Trial 88: Value=0.125959624879306, Params={'alpha': 0.012820302944127898, 'l1_ratio': 0.8424064220237643}
Trial 89: Value=1.0041624961256486, Params={'alpha': 15.905576115358262, 'l1_ratio': 0.9471119209736153}
Trial 90: Value=0.14226492468448845, Params={'alpha': 0.14247668801307925, 'l1_ratio': 0.6172321699700598}
Trial 91: Value=0.12470116492979406, Params={'alpha': 0.02312031073665198, 'l1_ratio': 0.8094328315668161}
Trial 92: Value=0.12570195465448983, Params={'alpha': 0.034695911703797246, 'l1_ratio': 0.8669068523697065}
Trial 93: Value=0.12468017465140435, Params={'alpha': 0.02489600416073857, 'l1_ratio': 0.8301400436268825}
Trial 94: Value=0.12946981260838056, Params={'alpha': 0.061011964555132255, 'l1_ratio': 0.8945231871411907}
Trial 95: Value=0.139891921129731, Params={'alpha': 0.0033438208823042053, 'l1_ratio': 0.9849914361561293}
Trial 96: Value=0.12532301426419515, Params={'alpha': 0.016834330498033317, 'l1_ratio': 0.7920290982007705}
Trial 97: Value=0.1277018560369372, Params={'alpha': 0.009779510473578258, 'l1_ratio': 0.8298541453969173}
Trial 98: Value=0.12911723049450238, Params={'alpha': 0.00752374325698441, 'l1_ratio': 0.927589689257831}
Trial 99: Value=0.13295182214526832, Params={'alpha': 0.08152136761427022, 'l1_ratio': 0.8777794598194069}
Trial 100: Value=0.12694876799155827, Params={'alpha': 0.042603529896113206, 'l1_ratio': 0.9117456244152377}
Trial 101: Value=0.12468939687663054, Params={'alpha': 0.022064738018384118, 'l1_ratio': 0.8205811149957173}
Trial 102: Value=0.12464041656797586, Params={'alpha': 0.024173963083602732, 'l1_ratio': 0.8563016653498806}
Trial 103: Value=0.12474061785559169, Params={'alpha': 0.02602448152443827, 'l1_ratio': 0.861090565115354}
Trial 104: Value=0.12598796515296348, Params={'alpha': 0.03474191043188378, 'l1_ratio': 0.9534857970586749}
Trial 105: Value=0.127447290202324, Params={'alpha': 0.010840206765613793, 'l1_ratio': 0.7725008833425744}
Trial 106: Value=0.12503402804814367, Params={'alpha': 0.01766249064073548, 'l1_ratio': 0.84062121846646}
Trial 107: Value=0.1284676651977972, Params={'alpha': 0.05460294086686436, 'l1_ratio': 0.8892729546564422}
Trial 108: Value=0.1253531345251944, Params={'alpha': 0.013706509789257111, 'l1_ratio': 0.9381978062186015}
Trial 109: Value=0.12486565049487143, Params={'alpha': 0.028257693311061958, 'l1_ratio': 0.7462155544444298}
Trial 110: Value=0.12937863455620893, Params={'alpha': 0.006975011446026074, 'l1_ratio': 0.9769380878230371}
Trial 111: Value=0.12467496206747848, Params={'alpha': 0.02437693527481741, 'l1_ratio': 0.8259470518907763}
Trial 112: Value=0.125978486129099, Params={'alpha': 0.04119941486336268, 'l1_ratio': 0.45319499226031834}
Trial 113: Value=0.1248643904193123, Params={'alpha': 0.018509939738387472, 'l1_ratio': 0.8606555060222842}
Trial 114: Value=0.12470004841027486, Params={'alpha': 0.02540807912498089, 'l1_ratio': 0.8291850744111717}
Trial 115: Value=0.12908422776508277, Params={'alpha': 0.061789375464408526, 'l1_ratio': 0.7979145738576555}
Trial 116: Value=0.12608130741720822, Params={'alpha': 0.011528856373954191, 'l1_ratio': 0.9090875601278562}
Trial 117: Value=0.14029941858845352, Params={'alpha': 0.11301261106698032, 'l1_ratio': 0.8864371144629974}
Trial 118: Value=0.1256310120844427, Params={'alpha': 0.034366437446998646, 'l1_ratio': 0.8537006130504231}
Trial 119: Value=0.1380203124786243, Params={'alpha': 0.0047081317336482645, 'l1_ratio': 0.7782550816470959}
Trial 120: Value=1.0041624961256486, Params={'alpha': 4.830677499234241, 'l1_ratio': 0.92673485470871}
Trial 121: Value=0.12484883712289313, Params={'alpha': 0.02006871285401339, 'l1_ratio': 0.8136204536003946}
Trial 122: Value=0.12467035866749136, Params={'alpha': 0.023807948867943005, 'l1_ratio': 0.8296564154593917}
Trial 123: Value=0.12558227299286082, Params={'alpha': 0.01373107743616107, 'l1_ratio': 0.8713491520579839}
Trial 124: Value=0.12689433656597793, Params={'alpha': 0.042482307814438174, 'l1_ratio': 0.8994276122440568}
Trial 125: Value=0.12759513852735974, Params={'alpha': 0.009814973215747898, 'l1_ratio': 0.8376492001759084}
Trial 126: Value=0.12512050560996832, Params={'alpha': 0.03151018225072192, 'l1_ratio': 0.7923687295510784}
Trial 127: Value=0.12676877860924196, Params={'alpha': 0.05084172519860154, 'l1_ratio': 0.5632674331409975}
Trial 128: Value=0.13242248143679128, Params={'alpha': 0.08020316491301589, 'l1_ratio': 0.8521369533590345}
Trial 129: Value=0.12484061090266126, Params={'alpha': 0.025772231600181588, 'l1_ratio': 0.7303422689007306}
Trial 130: Value=0.12471374436165257, Params={'alpha': 0.01640331402164795, 'l1_ratio': 0.9984857698195732}
Trial 131: Value=0.1246891918491266, Params={'alpha': 0.022025154483794114, 'l1_ratio': 0.8211813910895734}
Trial 132: Value=0.12478840355928918, Params={'alpha': 0.023384526283724186, 'l1_ratio': 0.76061444183853}
Trial 133: Value=0.12529266269511918, Params={'alpha': 0.016709055707063866, 'l1_ratio': 0.8052835911054637}
Trial 134: Value=0.1253485867116073, Params={'alpha': 0.032821528377835515, 'l1_ratio': 0.8294553031014188}
Trial 135: Value=0.1304446551396018, Params={'alpha': 0.008794553965945372, 'l1_ratio': 0.6984891896353314}
Trial 136: Value=0.12457025609930983, Params={'alpha': 0.021645313045351226, 'l1_ratio': 0.9140868669686958}
Trial 137: Value=0.12561086339858107, Params={'alpha': 0.012218957633088395, 'l1_ratio': 0.9625656514630938}
Trial 138: Value=0.12842275329769895, Params={'alpha': 0.054824685706405925, 'l1_ratio': 0.8720824900790546}
Trial 139: Value=0.1267813308149823, Params={'alpha': 0.04119191424110248, 'l1_ratio': 0.9142654758172614}
Trial 140: Value=0.1249958499754416, Params={'alpha': 0.015624532962587728, 'l1_ratio': 0.9414040869155119}
Trial 141: Value=0.12458970549389077, Params={'alpha': 0.02232131309453723, 'l1_ratio': 0.8922599610170157}
Trial 142: Value=0.12482885794890164, Params={'alpha': 0.0269352295078696, 'l1_ratio': 0.8935943053082671}
Trial 143: Value=0.12468025146445212, Params={'alpha': 0.01983219677551492, 'l1_ratio': 0.8760178039481402}
Trial 144: Value=0.12535198312547646, Params={'alpha': 0.03242491145056093, 'l1_ratio': 0.8493424053880234}
Trial 145: Value=0.1254233428950504, Params={'alpha': 0.013686761268484612, 'l1_ratio': 0.9179631403945567}
Trial 146: Value=0.1286647734343018, Params={'alpha': 0.06942078588600512, 'l1_ratio': 0.3371034870311625}
Trial 147: Value=0.12461395104804723, Params={'alpha': 0.02338091833827488, 'l1_ratio': 0.9442771115280788}
Trial 148: Value=0.3316658874549184, Params={'alpha': 0.43690573803243105, 'l1_ratio': 0.9696605490816445}
Trial 149: Value=0.12870760741728796, Params={'alpha': 0.0076175088235598916, 'l1_ratio': 0.9558074308303304}
Trial 150: Value=0.12769240858890474, Params={'alpha': 0.04764514288264014, 'l1_ratio': 0.9359074350622729}
Trial 151: Value=0.12461195069765296, Params={'alpha': 0.020272000066123123, 'l1_ratio': 0.8958912712619315}
Trial 152: Value=0.12462719830557893, Params={'alpha': 0.0193982920386922, 'l1_ratio': 0.9129656185025886}
Trial 153: Value=0.126051846118493, Params={'alpha': 0.011775864476506413, 'l1_ratio': 0.8958423886248111}
Trial 154: Value=0.12455723662161737, Params={'alpha': 0.01831006618632483, 'l1_ratio': 0.9823505483008153}
Trial 155: Value=0.12455829072982039, Params={'alpha': 0.0183770066408811, 'l1_ratio': 0.9793710813010922}
Trial 156: Value=0.12454278732592183, Params={'alpha': 0.01808467507232014, 'l1_ratio': 0.9981653772516949}
Trial 157: Value=0.12459196661635637, Params={'alpha': 0.017581978658358477, 'l1_ratio': 0.992547273759306}
Trial 158: Value=0.12484800966280916, Params={'alpha': 0.01579574154531727, 'l1_ratio': 0.9830993908613997}
Trial 159: Value=0.1267383812014791, Params={'alpha': 0.009334357335775775, 'l1_ratio': 0.9910319032820304}
Trial 160: Value=0.1300078072962678, Params={'alpha': 0.006577727506907873, 'l1_ratio': 0.97891991421327}
Trial 161: Value=0.12463245989543115, Params={'alpha': 0.01819811843901017, 'l1_ratio': 0.9501314715693526}
Trial 162: Value=0.12467625465840142, Params={'alpha': 0.017662304740439158, 'l1_ratio': 0.9520484022811989}
Trial 163: Value=0.12557253986206351, Params={'alpha': 0.012226300865918072, 'l1_ratio': 0.973461650148233}
Trial 164: Value=0.1256478558218179, Params={'alpha': 0.031594564309511027, 'l1_ratio': 0.9941572001417563}
Trial 165: Value=0.12457047166795177, Params={'alpha': 0.019336840611102208, 'l1_ratio': 0.9438967000826686}
Trial 166: Value=0.12465311512609079, Params={'alpha': 0.018268164740063285, 'l1_ratio': 0.9384162679150059}
Trial 167: Value=0.12611942046720237, Params={'alpha': 0.010877855006817788, 'l1_ratio': 0.9554879245989101}
Trial 168: Value=0.12510173412020462, Params={'alpha': 0.015168437563775053, 'l1_ratio': 0.9326277356473248}
Trial 169: Value=0.124503486938868, Params={'alpha': 0.019615281626046772, 'l1_ratio': 0.9971011275639586}
Trial 170: Value=0.12689135170988672, Params={'alpha': 0.03998144910193453, 'l1_ratio': 0.9993755289818435}
Trial 171: Value=0.12453835225912331, Params={'alpha': 0.01962170552234224, 'l1_ratio': 0.9693481106033163}
Trial 172: Value=1.0041624961256486, Params={'alpha': 46.87700155313328, 'l1_ratio': 0.9681015020958371}
Trial 173: Value=0.1245410582780641, Params={'alpha': 0.01915014332951384, 'l1_ratio': 0.969555839746152}
Trial 174: Value=0.1245814402236027, Params={'alpha': 0.018108071472965958, 'l1_ratio': 0.9776826393447666}
Trial 175: Value=0.12522796378402176, Params={'alpha': 0.013661000967085377, 'l1_ratio': 0.9786755687679604}
Trial 176: Value=0.12458680122331063, Params={'alpha': 0.018665118618561054, 'l1_ratio': 0.9558019629149574}
Trial 177: Value=0.1262163534530068, Params={'alpha': 0.010704980433825178, 'l1_ratio': 0.9522185523989114}
Trial 178: Value=0.1246776635983442, Params={'alpha': 0.017097241785815363, 'l1_ratio': 0.9756241216852186}
Trial 179: Value=0.12799992795584372, Params={'alpha': 0.007882580246317559, 'l1_ratio': 0.9994992160566837}
Trial 180: Value=0.12573233509832085, Params={'alpha': 0.03284926703365556, 'l1_ratio': 0.9605140980946543}
Trial 181: Value=0.696337664136963, Params={'alpha': 0.7683456454342409, 'l1_ratio': 0.9292198143901264}
Trial 182: Value=0.12456710096863177, Params={'alpha': 0.019348019004794714, 'l1_ratio': 0.946136584648318}
Trial 183: Value=0.12456498327077765, Params={'alpha': 0.01933256086184872, 'l1_ratio': 0.9480137180895509}
Trial 184: Value=0.12519659803724328, Params={'alpha': 0.013821045322771243, 'l1_ratio': 0.9796383094276453}
Trial 185: Value=0.12451830636389784, Params={'alpha': 0.018684661978836697, 'l1_ratio': 0.9991137322608341}
Trial 186: Value=0.12515668079115205, Params={'alpha': 0.027969327223423216, 'l1_ratio': 0.9965429091995981}
Trial 187: Value=0.12716311002951766, Params={'alpha': 0.008992106997478664, 'l1_ratio': 0.9679272753893744}
Trial 188: Value=0.1253791805776822, Params={'alpha': 0.013601983734669428, 'l1_ratio': 0.9366722112825938}
Trial 189: Value=0.1258287682564995, Params={'alpha': 0.03343273504098841, 'l1_ratio': 0.9625394335947562}
Trial 190: Value=0.1244856200368869, Params={'alpha': 0.02023933552996029, 'l1_ratio': 0.9998149684868581}
Trial 191: Value=0.12450233384855092, Params={'alpha': 0.019547288346562962, 'l1_ratio': 0.9998430034475769}
Trial 192: Value=0.12457338013920745, Params={'alpha': 0.01814939630186158, 'l1_ratio': 0.9803006792639872}
Trial 193: Value=0.12455389932662408, Params={'alpha': 0.01837403307583875, 'l1_ratio': 0.9816705061486452}
Trial 194: Value=0.12481882376359059, Params={'alpha': 0.015689422995962758, 'l1_ratio': 0.9992876485138864}
Trial 195: Value=0.126204441896195, Params={'alpha': 0.010412077097919244, 'l1_ratio': 0.9809971707830407}
Trial 196: Value=0.12531312529535352, Params={'alpha': 0.012970880028272768, 'l1_ratio': 0.9993980114002897}
Trial 197: Value=0.12457138082532349, Params={'alpha': 0.01829058753443512, 'l1_ratio': 0.976108066490216}
Trial 198: Value=0.12522925595716963, Params={'alpha': 0.029129432020655485, 'l1_ratio': 0.9621189514011345}
Trial 199: Value=0.12452894559744676, Params={'alpha': 0.019812969649842905, 'l1_ratio': 0.9746672046325215}
Trial 200: Value=0.12632350798909384, Params={'alpha': 0.01024972665726899, 'l1_ratio': 0.9726895918210607}
Trial 201: Value=0.12451166514398367, Params={'alpha': 0.020222074227428177, 'l1_ratio': 0.977948817596608}
Trial 202: Value=0.12458165991419229, Params={'alpha': 0.01804158349874296, 'l1_ratio': 0.979984653272984}
Trial 203: Value=0.12504896965206516, Params={'alpha': 0.01464065729882936, 'l1_ratio': 0.97926324974636}
Trial 204: Value=0.12504208429657518, Params={'alpha': 0.02740188317845472, 'l1_ratio': 0.9799106470453807}
Trial 205: Value=0.12453242317290913, Params={'alpha': 0.021218144853060932, 'l1_ratio': 0.947741885776156}
Trial 206: Value=0.1265687672639306, Params={'alpha': 0.03890566922952136, 'l1_ratio': 0.9442939091480143}
Trial 207: Value=0.12449527612391002, Params={'alpha': 0.020801917801330828, 'l1_ratio': 0.9989910983372194}
Trial 208: Value=0.12520929434078573, Params={'alpha': 0.028297954942306882, 'l1_ratio': 0.9998022675318038}
Trial 209: Value=1.0041624961256486, Params={'alpha': 745.3351042686547, 'l1_ratio': 0.957409928696262}
Trial 210: Value=0.12454463104921203, Params={'alpha': 0.021693074978758768, 'l1_ratio': 0.9350586271922993}
Trial 211: Value=0.1245499948858576, Params={'alpha': 0.021163339438208247, 'l1_ratio': 0.935232435091133}
Trial 212: Value=0.12457836776189657, Params={'alpha': 0.02279378706742926, 'l1_ratio': 0.9366006566086791}
Trial 213: Value=0.12526000676361274, Params={'alpha': 0.014364366480198535, 'l1_ratio': 0.925661169112806}
Trial 214: Value=0.12615891515895705, Params={'alpha': 0.03576029482055201, 'l1_ratio': 0.9610591490977829}
Trial 215: Value=0.12458422099445543, Params={'alpha': 0.022880062964736415, 'l1_ratio': 0.9473863429295147}
Trial 216: Value=0.12497381949049453, Params={'alpha': 0.027126231321014698, 'l1_ratio': 0.9652133979960088}
Trial 217: Value=0.12602590313126535, Params={'alpha': 0.011457752687287118, 'l1_ratio': 0.9250112979730467}
Trial 218: Value=0.13025248708998682, Params={'alpha': 0.02034395992291905, 'l1_ratio': 0.3073180901827176}
Trial 219: Value=0.12505996928490046, Params={'alpha': 0.014246243383412283, 'l1_ratio': 0.999742444315179}
Trial 220: Value=0.1257056886023851, Params={'alpha': 0.03252622012990465, 'l1_ratio': 0.9670265197881033}
Trial 221: Value=0.12454645554557449, Params={'alpha': 0.018702411074933995, 'l1_ratio': 0.9753547424113447}
Trial 222: Value=0.12454614300590283, Params={'alpha': 0.02064866389444189, 'l1_ratio': 0.94703977633525}
Trial 223: Value=0.12461283848078201, Params={'alpha': 0.023347386088840898, 'l1_ratio': 0.9462420074599946}
Trial 224: Value=0.12528675508533424, Params={'alpha': 0.013311391639211573, 'l1_ratio': 0.9833367104600356}
Trial 225: Value=0.1270983663048361, Params={'alpha': 0.042819970322119136, 'l1_ratio': 0.9483597802840164}
Trial 226: Value=0.12449409904104643, Params={'alpha': 0.020745931569517893, 'l1_ratio': 0.9984553118123882}
Trial 227: Value=0.1251437205873985, Params={'alpha': 0.027831234013504222, 'l1_ratio': 0.9989062648243623}
Trial 228: Value=0.1332353194726812, Params={'alpha': 0.022884058410827333, 'l1_ratio': 0.21344893834191025}
Trial 229: Value=0.12491429742314557, Params={'alpha': 0.015395801818446436, 'l1_ratio': 0.9813192372271522}
Trial 230: Value=1.0041624961256486, Params={'alpha': 2.691838144114753, 'l1_ratio': 0.9645298734655364}
Trial 231: Value=0.12497436334951312, Params={'alpha': 0.01619121658880031, 'l1_ratio': 0.9216651749751308}
Trial 232: Value=0.12449042209359858, Params={'alpha': 0.02061286017243031, 'l1_ratio': 0.998623461353057}
Trial 233: Value=0.12449842051498465, Params={'alpha': 0.020704184562152225, 'l1_ratio': 0.9852928213242754}
Trial 234: Value=0.12563606929360827, Params={'alpha': 0.03147580118900825, 'l1_ratio': 0.9963579725854719}
Trial 235: Value=0.12556614770513333, Params={'alpha': 0.011915568636338556, 'l1_ratio': 0.9994078321057659}
Trial 236: Value=0.12451660438524752, Params={'alpha': 0.02003058469408377, 'l1_ratio': 0.9785013623892486}
Trial 237: Value=0.12478251391412287, Params={'alpha': 0.02520582331461971, 'l1_ratio': 0.9794485565408981}
Trial 238: Value=0.12453485272653624, Params={'alpha': 0.019959184682642083, 'l1_ratio': 0.9675198975360254}
Trial 239: Value=0.12658038129784346, Params={'alpha': 0.038149912455715675, 'l1_ratio': 0.979113212281153}
Trial 240: Value=0.1265729531859773, Params={'alpha': 0.009508760305410797, 'l1_ratio': 0.9999411941899288}
Trial 241: Value=0.12451655103645287, Params={'alpha': 0.02095242983244565, 'l1_ratio': 0.9642188840613918}
Trial 242: Value=0.12499002989489423, Params={'alpha': 0.015198715463237564, 'l1_ratio': 0.9655897224781964}
Trial 243: Value=0.12477692689903608, Params={'alpha': 0.025139825350089653, 'l1_ratio': 0.9796525034725466}
Trial 244: Value=0.12453024718647565, Params={'alpha': 0.020281808804162457, 'l1_ratio': 0.9642237512298462}
Trial 245: Value=0.1252015137162212, Params={'alpha': 0.02889292143904648, 'l1_ratio': 0.963260093876976}
Trial 246: Value=0.12452267587411352, Params={'alpha': 0.021433421079315684, 'l1_ratio': 0.9993269486513487}
