Best trial value: 0.18419841340299378
Best hyperparameters: {'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}

All trial results:
Trial 0: Value=0.4989656578997013, Params={'max_depth': 7, 'min_samples_split': 4, 'min_samples_leaf': 10, 'max_features': 'sqrt'}
Trial 132: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 133: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 134: Value=0.20030729209941234, Params={'max_depth': 7, 'min_samples_split': 9, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 135: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 136: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 137: Value=0.4709025677630922, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': 'sqrt'}
Trial 138: Value=0.5354165651596449, Params={'max_depth': 7, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 'log2'}
Trial 139: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 140: Value=0.1853948331792866, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 141: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 142: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 143: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 144: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 145: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 146: Value=0.20005673636950327, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 0.8}
Trial 147: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 148: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 149: Value=0.2048467265318962, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 0.5}
Trial 150: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 151: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 152: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 153: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 154: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 155: Value=0.2029393627605818, Params={'max_depth': 9, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 156: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 157: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 158: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 159: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 160: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 161: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 162: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 163: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 164: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 165: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 166: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 167: Value=0.47227758095985095, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
Trial 168: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 169: Value=0.1859874660857944, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 170: Value=0.5612704701470106, Params={'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_features': 'log2'}
Trial 171: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 172: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 173: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 174: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 175: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 176: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 177: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 178: Value=0.18607748059526072, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 0.8}
Trial 179: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 180: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 181: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 182: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 183: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 184: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 185: Value=0.19111044830053361, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 0.5}
Trial 186: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 187: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 188: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 189: Value=0.18689275324723179, Params={'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 190: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 191: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 192: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 193: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 194: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 195: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 196: Value=0.19216881881483636, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 197: Value=0.19859700581860337, Params={'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_features': 1.0}
Trial 198: Value=0.18419841340299378, Params={'max_depth': 6, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 1.0}
Trial 199: Value=0.19162531270923652, Params={'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 1.0}
Trial 200: Value=0.47227758095985095, Params={'max_depth': 5, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 'sqrt'}
