Best trial value: 0.1119150228767402
Best hyperparameters: {'n_estimators': 841, 'max_depth': 9, 'learning_rate': 0.008688414198817005, 'subsample': 0.6242718911640639, 'colsample_bytree': 0.8242586562889879, 'min_child_weight': 1}

All trial results:
Trial 0: Value=0.9844089270935132, Params={'n_estimators': 657, 'max_depth': 6, 'learning_rate': 1.655920386219628e-05, 'subsample': 0.7310636042808303, 'colsample_bytree': 0.6038428788527885, 'min_child_weight': 5}
Trial 15: Value=0.21315268225741793, Params={'n_estimators': 875, 'max_depth': 9, 'learning_rate': 0.001475030274487525, 'subsample': 0.5856440361627074, 'colsample_bytree': 0.871699929343124, 'min_child_weight': 3}
Trial 16: Value=0.1164544842296173, Params={'n_estimators': 998, 'max_depth': 12, 'learning_rate': 0.008352122719967459, 'subsample': 0.6510743361843716, 'colsample_bytree': 0.7775616754031804, 'min_child_weight': 5}
Trial 17: Value=0.19948262297923677, Params={'n_estimators': 528, 'max_depth': 8, 'learning_rate': 0.003042239500892671, 'subsample': 0.5260132897075072, 'colsample_bytree': 0.50276984669223, 'min_child_weight': 3}
Trial 18: Value=0.11864796061592914, Params={'n_estimators': 901, 'max_depth': 5, 'learning_rate': 0.003557860681848775, 'subsample': 0.563364591798624, 'colsample_bytree': 0.8491406094442122, 'min_child_weight': 2}
Trial 19: Value=0.25529997189916726, Params={'n_estimators': 754, 'max_depth': 11, 'learning_rate': 0.0014501946219889466, 'subsample': 0.6713386689840479, 'colsample_bytree': 0.774289204860932, 'min_child_weight': 6}
Trial 20: Value=0.8237683939902141, Params={'n_estimators': 549, 'max_depth': 10, 'learning_rate': 0.0002260151097610207, 'subsample': 0.9436330708696393, 'colsample_bytree': 0.9156401893827372, 'min_child_weight': 4}
Trial 21: Value=0.11648728979832888, Params={'n_estimators': 924, 'max_depth': 12, 'learning_rate': 0.009916932546115285, 'subsample': 0.5055159313400981, 'colsample_bytree': 0.7120056130005772, 'min_child_weight': 3}
Trial 22: Value=0.11762653379203619, Params={'n_estimators': 996, 'max_depth': 11, 'learning_rate': 0.009866155002469144, 'subsample': 0.5555725291972143, 'colsample_bytree': 0.630979915897774, 'min_child_weight': 2}
Trial 23: Value=0.11775269580446039, Params={'n_estimators': 831, 'max_depth': 12, 'learning_rate': 0.004950458036702597, 'subsample': 0.5523179920955128, 'colsample_bytree': 0.7333076096668589, 'min_child_weight': 3}
Trial 24: Value=0.14820174044047155, Params={'n_estimators': 906, 'max_depth': 10, 'learning_rate': 0.0023085615141175686, 'subsample': 0.6118990011136314, 'colsample_bytree': 0.6691168439644383, 'min_child_weight': 1}
Trial 25: Value=0.11537772627291899, Params={'n_estimators': 768, 'max_depth': 8, 'learning_rate': 0.00559479627122337, 'subsample': 0.5030801426975161, 'colsample_bytree': 0.8278224241793984, 'min_child_weight': 4}
Trial 26: Value=0.5616398100447578, Params={'n_estimators': 594, 'max_depth': 8, 'learning_rate': 0.0006801543329895147, 'subsample': 0.5823170716367785, 'colsample_bytree': 0.8091371986591926, 'min_child_weight': 5}
Trial 27: Value=0.11830022758330361, Params={'n_estimators': 757, 'max_depth': 5, 'learning_rate': 0.0055585598714473616, 'subsample': 0.5003569704247173, 'colsample_bytree': 0.8765609637136178, 'min_child_weight': 6}
Trial 28: Value=0.2950473964258162, Params={'n_estimators': 828, 'max_depth': 9, 'learning_rate': 0.001129696818854114, 'subsample': 0.693432769173961, 'colsample_bytree': 0.7620401450952413, 'min_child_weight': 4}
Trial 29: Value=0.1296780715920276, Params={'n_estimators': 601, 'max_depth': 6, 'learning_rate': 0.003965423135602539, 'subsample': 0.6215530033118126, 'colsample_bytree': 0.9034978500270725, 'min_child_weight': 5}
Trial 30: Value=0.19375006610369047, Params={'n_estimators': 734, 'max_depth': 8, 'learning_rate': 0.0019879797087930776, 'subsample': 0.5349637100323316, 'colsample_bytree': 0.8240253224905384, 'min_child_weight': 4}
Trial 31: Value=0.11563668458435684, Params={'n_estimators': 932, 'max_depth': 10, 'learning_rate': 0.006863489082752172, 'subsample': 0.538934553227663, 'colsample_bytree': 0.6975951227911446, 'min_child_weight': 2}
Trial 32: Value=0.11874182941526544, Params={'n_estimators': 933, 'max_depth': 10, 'learning_rate': 0.005671447807778819, 'subsample': 0.5732350067226292, 'colsample_bytree': 0.6068319234326061, 'min_child_weight': 2}
Trial 33: Value=0.11657322739588248, Params={'n_estimators': 863, 'max_depth': 13, 'learning_rate': 0.0060556477674113, 'subsample': 0.5289624608350495, 'colsample_bytree': 0.6571931255997643, 'min_child_weight': 2}
Trial 34: Value=0.11496251429470167, Params={'n_estimators': 935, 'max_depth': 7, 'learning_rate': 0.00630030898512506, 'subsample': 0.500827713428294, 'colsample_bytree': 0.7428936508470753, 'min_child_weight': 1}
Trial 35: Value=0.11887318822686699, Params={'n_estimators': 821, 'max_depth': 7, 'learning_rate': 0.0038494191686631587, 'subsample': 0.5886752223596236, 'colsample_bytree': 0.8120003005727727, 'min_child_weight': 1}
Trial 36: Value=0.9246193772247598, Params={'n_estimators': 782, 'max_depth': 3, 'learning_rate': 6.797368574920958e-05, 'subsample': 0.6415666543951423, 'colsample_bytree': 0.7513282200746723, 'min_child_weight': 1}
Trial 37: Value=0.39945055794542145, Params={'n_estimators': 684, 'max_depth': 6, 'learning_rate': 0.0009893461309553432, 'subsample': 0.540977619713761, 'colsample_bytree': 0.7982057048349862, 'min_child_weight': 1}
Trial 38: Value=0.5887375705383632, Params={'n_estimators': 928, 'max_depth': 5, 'learning_rate': 0.0003765512332827312, 'subsample': 0.7101413292477821, 'colsample_bytree': 0.9996719816630484, 'min_child_weight': 2}
Trial 39: Value=0.27050178946373454, Params={'n_estimators': 415, 'max_depth': 7, 'learning_rate': 0.002363636811313654, 'subsample': 0.889323817819681, 'colsample_bytree': 0.8477035706977769, 'min_child_weight': 1}
Trial 40: Value=0.1205725682232363, Params={'n_estimators': 866, 'max_depth': 9, 'learning_rate': 0.006951687456023478, 'subsample': 0.805420220593371, 'colsample_bytree': 0.5638344381524285, 'min_child_weight': 2}
Trial 41: Value=0.1187474517531593, Params={'n_estimators': 944, 'max_depth': 15, 'learning_rate': 0.004553231071479405, 'subsample': 0.5014377467904876, 'colsample_bytree': 0.684643295638728, 'min_child_weight': 3}
Trial 42: Value=0.1159320163275463, Params={'n_estimators': 997, 'max_depth': 9, 'learning_rate': 0.007215936901599948, 'subsample': 0.5287748142406503, 'colsample_bytree': 0.6924314517033646, 'min_child_weight': 3}
Trial 43: Value=0.11584077976415309, Params={'n_estimators': 888, 'max_depth': 8, 'learning_rate': 0.006466681935153143, 'subsample': 0.5222326163037174, 'colsample_bytree': 0.7441864536175236, 'min_child_weight': 4}
Trial 44: Value=0.4430800560787993, Params={'n_estimators': 265, 'max_depth': 10, 'learning_rate': 0.0027333651595150346, 'subsample': 0.5610953486651069, 'colsample_bytree': 0.705735010214405, 'min_child_weight': 10}
Trial 45: Value=0.11590815722654486, Params={'n_estimators': 952, 'max_depth': 13, 'learning_rate': 0.004423459455715725, 'subsample': 0.5005449471447867, 'colsample_bytree': 0.8455072321773816, 'min_child_weight': 3}
Trial 46: Value=0.13856626919650492, Params={'n_estimators': 475, 'max_depth': 11, 'learning_rate': 0.009743047107628407, 'subsample': 0.5480918831523276, 'colsample_bytree': 0.6579376457550812, 'min_child_weight': 9}
Trial 47: Value=0.7406757584008137, Params={'n_estimators': 61, 'max_depth': 7, 'learning_rate': 0.0033414079158225565, 'subsample': 0.5851120052251767, 'colsample_bytree': 0.7279087417076578, 'min_child_weight': 2}
Trial 48: Value=0.9345505249614424, Params={'n_estimators': 791, 'max_depth': 8, 'learning_rate': 5.993736047310386e-05, 'subsample': 0.5214074316339226, 'colsample_bytree': 0.6263579542067313, 'min_child_weight': 4}
Trial 49: Value=0.15293782309530565, Params={'n_estimators': 960, 'max_depth': 9, 'learning_rate': 0.0018955816289511667, 'subsample': 0.6041829246742217, 'colsample_bytree': 0.957138632456517, 'min_child_weight': 2}
Trial 50: Value=0.11457043070633306, Params={'n_estimators': 724, 'max_depth': 12, 'learning_rate': 0.007770178341670859, 'subsample': 0.5672469639146807, 'colsample_bytree': 0.7849203744624094, 'min_child_weight': 3}
Trial 51: Value=0.11516306126833852, Params={'n_estimators': 703, 'max_depth': 12, 'learning_rate': 0.007424258914133481, 'subsample': 0.5664387783229922, 'colsample_bytree': 0.784587035389472, 'min_child_weight': 3}
Trial 52: Value=0.11572817398276125, Params={'n_estimators': 633, 'max_depth': 12, 'learning_rate': 0.007016054568342231, 'subsample': 0.5654214390430033, 'colsample_bytree': 0.7788760874811855, 'min_child_weight': 3}
Trial 53: Value=0.12377688583481188, Params={'n_estimators': 661, 'max_depth': 13, 'learning_rate': 0.004354561413003494, 'subsample': 0.6674203018282772, 'colsample_bytree': 0.7589463424248232, 'min_child_weight': 4}
Trial 54: Value=0.115386516551639, Params={'n_estimators': 621, 'max_depth': 12, 'learning_rate': 0.007051299031052331, 'subsample': 0.53719464030117, 'colsample_bytree': 0.7934432508666281, 'min_child_weight': 1}
Trial 55: Value=0.13878032989542624, Params={'n_estimators': 734, 'max_depth': 14, 'learning_rate': 0.003079243251207653, 'subsample': 0.5193078241092529, 'colsample_bytree': 0.7898107401185326, 'min_child_weight': 1}
Trial 56: Value=0.8524854976046922, Params={'n_estimators': 706, 'max_depth': 12, 'learning_rate': 0.00014984175293427263, 'subsample': 0.633732240565757, 'colsample_bytree': 0.8326056193886099, 'min_child_weight': 5}
Trial 57: Value=0.11572028696225618, Params={'n_estimators': 568, 'max_depth': 13, 'learning_rate': 0.007652599546521349, 'subsample': 0.5957949159303688, 'colsample_bytree': 0.8912535781584316, 'min_child_weight': 6}
Trial 58: Value=0.11694450324991777, Params={'n_estimators': 693, 'max_depth': 15, 'learning_rate': 0.005342395938638564, 'subsample': 0.5718180690981889, 'colsample_bytree': 0.8067787930982057, 'min_child_weight': 3}
Trial 59: Value=0.11443861914965175, Params={'n_estimators': 640, 'max_depth': 12, 'learning_rate': 0.009529797382935662, 'subsample': 0.5537371697344537, 'colsample_bytree': 0.8291545410079035, 'min_child_weight': 1}
Trial 60: Value=0.11578166682472013, Params={'n_estimators': 794, 'max_depth': 11, 'learning_rate': 0.009992147327875655, 'subsample': 0.6131923310330882, 'colsample_bytree': 0.8628663035735372, 'min_child_weight': 5}
Trial 61: Value=0.11656699443704503, Params={'n_estimators': 477, 'max_depth': 12, 'learning_rate': 0.0077256419346314505, 'subsample': 0.5481205957190708, 'colsample_bytree': 0.8251765761722862, 'min_child_weight': 1}
Trial 62: Value=0.12120483791306365, Params={'n_estimators': 622, 'max_depth': 13, 'learning_rate': 0.005203082880649534, 'subsample': 0.5131828054679499, 'colsample_bytree': 0.7684216033560333, 'min_child_weight': 1}
Trial 63: Value=0.13881206490951065, Params={'n_estimators': 629, 'max_depth': 12, 'learning_rate': 0.00357197915570956, 'subsample': 0.5500071621944048, 'colsample_bytree': 0.7896333676801702, 'min_child_weight': 1}
Trial 64: Value=0.11416062673751735, Params={'n_estimators': 659, 'max_depth': 11, 'learning_rate': 0.00839589926357306, 'subsample': 0.570553677654461, 'colsample_bytree': 0.8624340087104602, 'min_child_weight': 2}
Trial 65: Value=0.1144831545051267, Params={'n_estimators': 733, 'max_depth': 11, 'learning_rate': 0.00801592074312568, 'subsample': 0.5689823888150701, 'colsample_bytree': 0.9158707112369506, 'min_child_weight': 2}
Trial 66: Value=0.11379231482972245, Params={'n_estimators': 726, 'max_depth': 11, 'learning_rate': 0.00874634333527827, 'subsample': 0.6563651349142104, 'colsample_bytree': 0.9247577594592621, 'min_child_weight': 2}
Trial 67: Value=0.11404922957272394, Params={'n_estimators': 733, 'max_depth': 11, 'learning_rate': 0.008718684851119924, 'subsample': 0.6508075305928909, 'colsample_bytree': 0.924230164892634, 'min_child_weight': 2}
Trial 68: Value=0.11439979290887427, Params={'n_estimators': 665, 'max_depth': 11, 'learning_rate': 0.00888291765719879, 'subsample': 0.6547074710427742, 'colsample_bytree': 0.9358390197838421, 'min_child_weight': 2}
Trial 69: Value=0.9877652706806502, Params={'n_estimators': 514, 'max_depth': 11, 'learning_rate': 1.6146354647255435e-05, 'subsample': 0.7543288197495424, 'colsample_bytree': 0.9276912011806884, 'min_child_weight': 2}
Trial 70: Value=0.11473542829687923, Params={'n_estimators': 577, 'max_depth': 11, 'learning_rate': 0.008799980432449759, 'subsample': 0.7153893613234528, 'colsample_bytree': 0.971164106005028, 'min_child_weight': 2}
Trial 71: Value=0.1143336972233165, Params={'n_estimators': 731, 'max_depth': 10, 'learning_rate': 0.008560376413068426, 'subsample': 0.6578215329148909, 'colsample_bytree': 0.9406459544217417, 'min_child_weight': 2}
Trial 72: Value=0.1165189399756975, Params={'n_estimators': 662, 'max_depth': 10, 'learning_rate': 0.0053146420153232215, 'subsample': 0.6524003817103736, 'colsample_bytree': 0.9317988514411931, 'min_child_weight': 2}
Trial 73: Value=0.1141359265228018, Params={'n_estimators': 742, 'max_depth': 11, 'learning_rate': 0.008863543584594225, 'subsample': 0.6887584129718972, 'colsample_bytree': 0.9486556477737416, 'min_child_weight': 2}
Trial 74: Value=0.1141675127943169, Params={'n_estimators': 673, 'max_depth': 10, 'learning_rate': 0.009893880246310353, 'subsample': 0.6842063730277528, 'colsample_bytree': 0.9515983449547201, 'min_child_weight': 2}
Trial 75: Value=0.11641134569208207, Params={'n_estimators': 761, 'max_depth': 10, 'learning_rate': 0.004643385752626555, 'subsample': 0.6869471256535946, 'colsample_bytree': 0.9496530095959836, 'min_child_weight': 2}
Trial 76: Value=0.1148520744363374, Params={'n_estimators': 811, 'max_depth': 10, 'learning_rate': 0.005818045477853303, 'subsample': 0.6754231354583887, 'colsample_bytree': 0.9797843631202091, 'min_child_weight': 2}
Trial 77: Value=0.11426328120495931, Params={'n_estimators': 850, 'max_depth': 11, 'learning_rate': 0.00863339886238067, 'subsample': 0.7263082220756291, 'colsample_bytree': 0.8940558640865238, 'min_child_weight': 2}
Trial 78: Value=0.12426785369716768, Params={'n_estimators': 667, 'max_depth': 11, 'learning_rate': 0.003913366201743842, 'subsample': 0.7098451928954851, 'colsample_bytree': 0.8925513201952738, 'min_child_weight': 2}
Trial 79: Value=0.11380119616172969, Params={'n_estimators': 685, 'max_depth': 11, 'learning_rate': 0.008572097172308306, 'subsample': 0.653864564188605, 'colsample_bytree': 0.9366418278333766, 'min_child_weight': 2}
Trial 80: Value=0.13460448589431537, Params={'n_estimators': 857, 'max_depth': 10, 'learning_rate': 0.0025081904566885277, 'subsample': 0.7381140578722569, 'colsample_bytree': 0.9174569287238626, 'min_child_weight': 2}
Trial 81: Value=0.11441664990846075, Params={'n_estimators': 685, 'max_depth': 11, 'learning_rate': 0.008742589311773064, 'subsample': 0.6542263873740216, 'colsample_bytree': 0.9475289843458379, 'min_child_weight': 2}
Trial 82: Value=0.11949640940343308, Params={'n_estimators': 721, 'max_depth': 11, 'learning_rate': 0.009943062851982584, 'subsample': 0.6807189275708921, 'colsample_bytree': 0.9652349909368674, 'min_child_weight': 8}
Trial 83: Value=0.11442674546743654, Params={'n_estimators': 778, 'max_depth': 10, 'learning_rate': 0.006148671111939214, 'subsample': 0.6995024056548305, 'colsample_bytree': 0.9350648568605354, 'min_child_weight': 3}
Trial 84: Value=0.11413694033709182, Params={'n_estimators': 756, 'max_depth': 11, 'learning_rate': 0.006255267505923065, 'subsample': 0.7760460847060596, 'colsample_bytree': 0.8965668178648839, 'min_child_weight': 2}
Trial 85: Value=0.11378965342879771, Params={'n_estimators': 751, 'max_depth': 11, 'learning_rate': 0.006292182218668361, 'subsample': 0.7934252776193343, 'colsample_bytree': 0.8979661204671818, 'min_child_weight': 3}
Trial 86: Value=0.11648388306754952, Params={'n_estimators': 752, 'max_depth': 11, 'learning_rate': 0.004608204056676793, 'subsample': 0.781904051791347, 'colsample_bytree': 0.885599316469986, 'min_child_weight': 3}
Trial 87: Value=0.11505146379242646, Params={'n_estimators': 804, 'max_depth': 9, 'learning_rate': 0.006514161481736629, 'subsample': 0.8511032239229054, 'colsample_bytree': 0.8631973024600907, 'min_child_weight': 2}
Trial 88: Value=0.11371893493774195, Params={'n_estimators': 849, 'max_depth': 11, 'learning_rate': 0.0058898158130446425, 'subsample': 0.7727829497618761, 'colsample_bytree': 0.9040328987230717, 'min_child_weight': 3}
Trial 89: Value=0.11920456575471532, Params={'n_estimators': 767, 'max_depth': 11, 'learning_rate': 0.0038824369605882964, 'subsample': 0.7783111223431526, 'colsample_bytree': 0.9061567824492643, 'min_child_weight': 3}
Trial 90: Value=0.958253987554332, Params={'n_estimators': 838, 'max_depth': 10, 'learning_rate': 3.263827233378364e-05, 'subsample': 0.8187910074957655, 'colsample_bytree': 0.9908194565708388, 'min_child_weight': 3}
Trial 91: Value=0.11437234283973868, Params={'n_estimators': 835, 'max_depth': 11, 'learning_rate': 0.006145752966078153, 'subsample': 0.7892210751322368, 'colsample_bytree': 0.9022791360514798, 'min_child_weight': 2}
Trial 92: Value=0.114862043648316, Params={'n_estimators': 897, 'max_depth': 11, 'learning_rate': 0.005054434836465636, 'subsample': 0.7640814194149029, 'colsample_bytree': 0.9240086802186619, 'min_child_weight': 1}
Trial 93: Value=0.21437505357236766, Params={'n_estimators': 153, 'max_depth': 12, 'learning_rate': 0.00819309488574549, 'subsample': 0.7280634758333483, 'colsample_bytree': 0.878885730097861, 'min_child_weight': 3}
Trial 94: Value=0.11529820170755922, Params={'n_estimators': 706, 'max_depth': 11, 'learning_rate': 0.006651418235909607, 'subsample': 0.8457975539227731, 'colsample_bytree': 0.9053649914941923, 'min_child_weight': 2}
Trial 95: Value=0.12771611541302574, Params={'n_estimators': 746, 'max_depth': 10, 'learning_rate': 0.0032702472117967533, 'subsample': 0.8068554836862063, 'colsample_bytree': 0.9474830474022056, 'min_child_weight': 1}
Trial 96: Value=0.1144958585862859, Params={'n_estimators': 852, 'max_depth': 12, 'learning_rate': 0.007509946495181308, 'subsample': 0.7413670173999359, 'colsample_bytree': 0.9779835122201034, 'min_child_weight': 2}
Trial 97: Value=0.1155948160908878, Params={'n_estimators': 647, 'max_depth': 10, 'learning_rate': 0.0057631050107211975, 'subsample': 0.7272405561373678, 'colsample_bytree': 0.8613269487314088, 'min_child_weight': 3}
Trial 98: Value=0.11638733359657111, Params={'n_estimators': 783, 'max_depth': 11, 'learning_rate': 0.0047850998128054064, 'subsample': 0.7931044044744323, 'colsample_bytree': 0.9584738958136273, 'min_child_weight': 2}
Trial 99: Value=0.6094036336661106, Params={'n_estimators': 684, 'max_depth': 12, 'learning_rate': 0.00048176080743945554, 'subsample': 0.7537207490797495, 'colsample_bytree': 0.8964258665212085, 'min_child_weight': 1}
Trial 100: Value=0.11336798300609324, Params={'n_estimators': 593, 'max_depth': 9, 'learning_rate': 0.008671573409393838, 'subsample': 0.6409344999850024, 'colsample_bytree': 0.9169266790387587, 'min_child_weight': 3}
Trial 101: Value=0.11364709945487539, Params={'n_estimators': 811, 'max_depth': 9, 'learning_rate': 0.00821562813402954, 'subsample': 0.6388019113239126, 'colsample_bytree': 0.9186887375666711, 'min_child_weight': 3}
Trial 102: Value=0.11510332971654207, Params={'n_estimators': 588, 'max_depth': 9, 'learning_rate': 0.006677124139437995, 'subsample': 0.6384920836864458, 'colsample_bytree': 0.9145157026147817, 'min_child_weight': 4}
Trial 103: Value=0.11335792073720642, Params={'n_estimators': 611, 'max_depth': 9, 'learning_rate': 0.009709655816579175, 'subsample': 0.6658827920661567, 'colsample_bytree': 0.9237953304558285, 'min_child_weight': 3}
Trial 104: Value=0.13368172882214327, Params={'n_estimators': 539, 'max_depth': 9, 'learning_rate': 0.004195481846533884, 'subsample': 0.6196785875347754, 'colsample_bytree': 0.8807752141803727, 'min_child_weight': 3}
Trial 105: Value=0.11423515961509656, Params={'n_estimators': 604, 'max_depth': 8, 'learning_rate': 0.007409650816212493, 'subsample': 0.6424930241207367, 'colsample_bytree': 0.9229340150215143, 'min_child_weight': 4}
Trial 106: Value=0.11509405887404763, Params={'n_estimators': 711, 'max_depth': 9, 'learning_rate': 0.00552491715114821, 'subsample': 0.6245191028330759, 'colsample_bytree': 0.908392018489771, 'min_child_weight': 3}
Trial 107: Value=0.8140813427067469, Params={'n_estimators': 563, 'max_depth': 8, 'learning_rate': 0.00024015321299015365, 'subsample': 0.6624141809449293, 'colsample_bytree': 0.8721276885302304, 'min_child_weight': 4}
Trial 108: Value=0.11420155895210898, Params={'n_estimators': 813, 'max_depth': 9, 'learning_rate': 0.008497057649259001, 'subsample': 0.6455518477018349, 'colsample_bytree': 0.9393018309028863, 'min_child_weight': 3}
Trial 109: Value=0.1150416987232201, Params={'n_estimators': 611, 'max_depth': 9, 'learning_rate': 0.006345358015125016, 'subsample': 0.6937114284115037, 'colsample_bytree': 0.9215741518184282, 'min_child_weight': 3}
Trial 110: Value=0.11397606010974597, Params={'n_estimators': 740, 'max_depth': 4, 'learning_rate': 0.007360410773982246, 'subsample': 0.6308621539737306, 'colsample_bytree': 0.85516968030442, 'min_child_weight': 3}
Trial 111: Value=0.11399121362849436, Params={'n_estimators': 737, 'max_depth': 5, 'learning_rate': 0.008184577760116503, 'subsample': 0.7660029692549958, 'colsample_bytree': 0.8589331379048124, 'min_child_weight': 3}
Trial 112: Value=0.11424823130325377, Params={'n_estimators': 746, 'max_depth': 4, 'learning_rate': 0.007084847934162079, 'subsample': 0.7673772690169537, 'colsample_bytree': 0.9114557523644153, 'min_child_weight': 3}
Trial 113: Value=0.11481262216057696, Params={'n_estimators': 796, 'max_depth': 4, 'learning_rate': 0.005056090441785914, 'subsample': 0.6693982107671387, 'colsample_bytree': 0.8842299715694907, 'min_child_weight': 4}
Trial 114: Value=0.1155797824288232, Params={'n_estimators': 764, 'max_depth': 4, 'learning_rate': 0.00977039840360481, 'subsample': 0.608645670208341, 'colsample_bytree': 0.9674439269931975, 'min_child_weight': 3}
Trial 115: Value=0.11452438223550422, Params={'n_estimators': 881, 'max_depth': 3, 'learning_rate': 0.007730679997266153, 'subsample': 0.6338653942092017, 'colsample_bytree': 0.9304031524907383, 'min_child_weight': 3}
Trial 116: Value=0.1145997330091527, Params={'n_estimators': 699, 'max_depth': 5, 'learning_rate': 0.006031711625440916, 'subsample': 0.7985029757526128, 'colsample_bytree': 0.8539240022201231, 'min_child_weight': 4}
Trial 117: Value=0.1138414583970488, Params={'n_estimators': 725, 'max_depth': 5, 'learning_rate': 0.008494146387350398, 'subsample': 0.628377270185059, 'colsample_bytree': 0.9013182349512926, 'min_child_weight': 3}
Trial 118: Value=0.11322859629767161, Params={'n_estimators': 723, 'max_depth': 6, 'learning_rate': 0.00897472904855329, 'subsample': 0.6254770063885772, 'colsample_bytree': 0.8396111689461543, 'min_child_weight': 3}
Trial 119: Value=0.11455931052929562, Params={'n_estimators': 726, 'max_depth': 5, 'learning_rate': 0.007606798174752366, 'subsample': 0.6007451729921323, 'colsample_bytree': 0.8394282405040191, 'min_child_weight': 4}
Trial 120: Value=0.11367974844624147, Params={'n_estimators': 643, 'max_depth': 5, 'learning_rate': 0.009749023166052273, 'subsample': 0.6126550109282185, 'colsample_bytree': 0.8703138984213095, 'min_child_weight': 3}
Trial 121: Value=0.11381935633386102, Params={'n_estimators': 645, 'max_depth': 6, 'learning_rate': 0.008939554705291697, 'subsample': 0.6270928694334129, 'colsample_bytree': 0.8725144233005903, 'min_child_weight': 3}
Trial 122: Value=0.11288803688851155, Params={'n_estimators': 632, 'max_depth': 6, 'learning_rate': 0.00999553510445, 'subsample': 0.626967517867569, 'colsample_bytree': 0.8540238341122051, 'min_child_weight': 3}
Trial 123: Value=0.11420738511736211, Params={'n_estimators': 587, 'max_depth': 6, 'learning_rate': 0.009675335559977277, 'subsample': 0.6164130466041318, 'colsample_bytree': 0.8740328411593464, 'min_child_weight': 3}
Trial 124: Value=0.11363296963775237, Params={'n_estimators': 647, 'max_depth': 6, 'learning_rate': 0.006917706582144922, 'subsample': 0.6270585900464137, 'colsample_bytree': 0.8401281386878742, 'min_child_weight': 3}
Trial 125: Value=0.11730245650505926, Params={'n_estimators': 635, 'max_depth': 7, 'learning_rate': 0.005430334228586871, 'subsample': 0.626976189509634, 'colsample_bytree': 0.8378457515808636, 'min_child_weight': 4}
