Best trial value: 0.004615970840620621
Best hyperparameters: {'hidden_dim': 60, 'num_layers': 2, 'learning_rate': 0.0002759469773922751, 'weight_decay': 0.00046458743267201614, 'dropout_rate': 0.1304723152999592, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}

All trial results:
Trial 0: Value=0.008825693751038107, Params={'hidden_dim': 24, 'num_layers': 7, 'learning_rate': 0.0004669048821018693, 'weight_decay': 1.1553883993917037e-07, 'dropout_rate': 0.4594460220075136, 'optimizer': 'NAdam', 'activation_function': 'leaky_relu'}
Trial 17: Value=0.025302427536565985, Params={'hidden_dim': 164, 'num_layers': 2, 'learning_rate': 0.00010286962232754375, 'weight_decay': 0.008157951922025203, 'dropout_rate': 0.421571757922831, 'optimizer': 'AdamW', 'activation_function': 'relu'}
Trial 18: Value=0.009029292667802625, Params={'hidden_dim': 163, 'num_layers': 13, 'learning_rate': 0.0008247299887398956, 'weight_decay': 0.000580289946391278, 'dropout_rate': 0.3468154335353209, 'optimizer': 'RMSprop', 'activation_function': 'relu'}
Trial 19: Value=0.016333894961211966, Params={'hidden_dim': 82, 'num_layers': 9, 'learning_rate': 0.006073857474562131, 'weight_decay': 0.00016581546954263203, 'dropout_rate': 0.18261459411893194, 'optimizer': 'Adam', 'activation_function': 'relu'}
Trial 20: Value=0.01832827891913004, Params={'hidden_dim': 11, 'num_layers': 5, 'learning_rate': 0.0009586507232719171, 'weight_decay': 0.001880115211777174, 'dropout_rate': 0.25979508162834214, 'optimizer': 'AdamW', 'activation_function': 'relu'}
Trial 21: Value=0.007801442611707091, Params={'hidden_dim': 34, 'num_layers': 4, 'learning_rate': 0.002210427540310953, 'weight_decay': 1.7046911770213782e-05, 'dropout_rate': 0.13701417689713125, 'optimizer': 'AdamW', 'activation_function': 'relu'}
Trial 22: Value=0.008839833602435102, Params={'hidden_dim': 28, 'num_layers': 4, 'learning_rate': 0.003501113564694212, 'weight_decay': 0.00011046173432716671, 'dropout_rate': 0.14533464135012183, 'optimizer': 'AdamW', 'activation_function': 'relu'}
Trial 23: Value=0.016787804866864642, Params={'hidden_dim': 13, 'num_layers': 2, 'learning_rate': 0.0012455113563771265, 'weight_decay': 0.002155142191797196, 'dropout_rate': 0.22243300535635704, 'optimizer': 'AdamW', 'activation_function': 'sigmoid'}
Trial 24: Value=0.007698307621070881, Params={'hidden_dim': 64, 'num_layers': 6, 'learning_rate': 0.00011739981042284467, 'weight_decay': 6.100023099677796e-06, 'dropout_rate': 0.1586066579271339, 'optimizer': 'AdamW', 'activation_function': 'relu'}
Trial 25: Value=0.01296854122380559, Params={'hidden_dim': 79, 'num_layers': 6, 'learning_rate': 6.160009186112067e-05, 'weight_decay': 6.471860098516903e-05, 'dropout_rate': 0.1723194487522986, 'optimizer': 'AdamW', 'activation_function': 'relu'}
Trial 26: Value=0.007398165450767842, Params={'hidden_dim': 190, 'num_layers': 12, 'learning_rate': 0.00018984609056354174, 'weight_decay': 7.696748207215875e-06, 'dropout_rate': 0.2982952791595924, 'optimizer': 'AdamW', 'activation_function': 'relu'}
Trial 27: Value=0.009502439037799022, Params={'hidden_dim': 148, 'num_layers': 12, 'learning_rate': 0.00036862315111597677, 'weight_decay': 0.0003698718096499368, 'dropout_rate': 0.43627094684637535, 'optimizer': 'Adam', 'activation_function': 'relu'}
Trial 28: Value=0.013798257746007075, Params={'hidden_dim': 196, 'num_layers': 15, 'learning_rate': 0.0006814462818462968, 'weight_decay': 0.0007232746763723226, 'dropout_rate': 0.2915400216621721, 'optimizer': 'RMSprop', 'activation_function': 'relu'}
Trial 29: Value=0.016591488261266978, Params={'hidden_dim': 118, 'num_layers': 18, 'learning_rate': 0.00025400714884839026, 'weight_decay': 4.812738315335399e-07, 'dropout_rate': 0.46213118167755723, 'optimizer': 'RAdam', 'activation_function': 'relu'}
Trial 30: Value=0.009529024976118199, Params={'hidden_dim': 43, 'num_layers': 11, 'learning_rate': 0.00012086259781384176, 'weight_decay': 9.181388227025405e-06, 'dropout_rate': 0.30306255878664506, 'optimizer': 'AdamW', 'activation_function': 'relu'}
Trial 31: Value=0.008262823366787088, Params={'hidden_dim': 65, 'num_layers': 8, 'learning_rate': 0.00012557049721356397, 'weight_decay': 5.035461086130127e-05, 'dropout_rate': 0.21708852714654558, 'optimizer': 'AdamW', 'activation_function': 'relu'}
Trial 32: Value=0.007763984661380685, Params={'hidden_dim': 125, 'num_layers': 13, 'learning_rate': 6.472582118276595e-05, 'weight_decay': 7.378443614622703e-06, 'dropout_rate': 0.1520757866551889, 'optimizer': 'AdamW', 'activation_function': 'relu'}
Trial 33: Value=0.006692714335710216, Params={'hidden_dim': 79, 'num_layers': 6, 'learning_rate': 0.00043012583782474085, 'weight_decay': 4.973469128279492e-06, 'dropout_rate': 0.23665876838029745, 'optimizer': 'AdamW', 'activation_function': 'relu'}
Trial 34: Value=0.02399099257263539, Params={'hidden_dim': 185, 'num_layers': 7, 'learning_rate': 0.0004782567432774503, 'weight_decay': 0.003384374225281434, 'dropout_rate': 0.27435935913958, 'optimizer': 'NAdam', 'activation_function': 'sigmoid'}
Trial 35: Value=0.015945003292943762, Params={'hidden_dim': 141, 'num_layers': 3, 'learning_rate': 0.0011066379650980637, 'weight_decay': 1.182639616010623e-06, 'dropout_rate': 0.3309994211204799, 'optimizer': 'AdamW', 'activation_function': 'tanh'}
Trial 36: Value=0.005939036735001135, Params={'hidden_dim': 89, 'num_layers': 5, 'learning_rate': 0.00038376975926542506, 'weight_decay': 1.905227856297354e-05, 'dropout_rate': 0.24140289345499436, 'optimizer': 'RAdam', 'activation_function': 'relu'}
Trial 37: Value=0.005984390148551525, Params={'hidden_dim': 84, 'num_layers': 5, 'learning_rate': 0.0003405483949576488, 'weight_decay': 2.161008677922834e-05, 'dropout_rate': 0.22794409556070955, 'optimizer': 'RAdam', 'activation_function': 'relu'}
Trial 38: Value=0.0069230847125421775, Params={'hidden_dim': 85, 'num_layers': 5, 'learning_rate': 0.00035779716539112167, 'weight_decay': 9.035555026532161e-05, 'dropout_rate': 0.2265245816881925, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 39: Value=0.007153943518882582, Params={'hidden_dim': 87, 'num_layers': 6, 'learning_rate': 0.0003712729318349731, 'weight_decay': 1.7050628204424597e-05, 'dropout_rate': 0.24347928450586687, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 40: Value=0.01098292019291739, Params={'hidden_dim': 101, 'num_layers': 8, 'learning_rate': 0.000616268464986554, 'weight_decay': 2.2130762938321728e-05, 'dropout_rate': 0.2048598065980368, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 41: Value=0.007125723034135983, Params={'hidden_dim': 72, 'num_layers': 6, 'learning_rate': 0.0004013232606280338, 'weight_decay': 7.887309271651416e-05, 'dropout_rate': 0.24164637652959411, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 42: Value=0.007025229658571593, Params={'hidden_dim': 70, 'num_layers': 5, 'learning_rate': 0.00029299637486434406, 'weight_decay': 6.839950403813966e-05, 'dropout_rate': 0.23129746059337192, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 43: Value=0.007034415326397698, Params={'hidden_dim': 53, 'num_layers': 5, 'learning_rate': 0.0002826038337985786, 'weight_decay': 3.80624176953342e-05, 'dropout_rate': 0.23053456512620815, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 44: Value=0.018670891787061567, Params={'hidden_dim': 94, 'num_layers': 9, 'learning_rate': 0.0001705586559522644, 'weight_decay': 3.894637199977139e-06, 'dropout_rate': 0.19664584513421185, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 45: Value=0.006780381597503188, Params={'hidden_dim': 118, 'num_layers': 5, 'learning_rate': 0.00031833161294518147, 'weight_decay': 9.507345145526968e-05, 'dropout_rate': 0.27627181948399365, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 46: Value=0.017721324328006747, Params={'hidden_dim': 118, 'num_layers': 7, 'learning_rate': 0.0005205799099802773, 'weight_decay': 1.0666772884800562e-06, 'dropout_rate': 0.2894988803374821, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 47: Value=0.021523814954800335, Params={'hidden_dim': 37, 'num_layers': 3, 'learning_rate': 0.00015334858560874374, 'weight_decay': 0.00014001541101363638, 'dropout_rate': 0.27115778775242716, 'optimizer': 'SGD', 'activation_function': 'sigmoid'}
Trial 48: Value=0.275360756481337, Params={'hidden_dim': 108, 'num_layers': 5, 'learning_rate': 7.90399811481118e-05, 'weight_decay': 1.4377364488585369e-05, 'dropout_rate': 0.31549485166303887, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 49: Value=0.03103928450322292, Params={'hidden_dim': 134, 'num_layers': 7, 'learning_rate': 4.364812820440438e-05, 'weight_decay': 3.517439201782942e-05, 'dropout_rate': 0.19437804917472662, 'optimizer': 'RAdam', 'activation_function': 'leaky_relu'}
Trial 50: Value=0.018716412524047554, Params={'hidden_dim': 42, 'num_layers': 4, 'learning_rate': 0.0007055431278641453, 'weight_decay': 4.144028140489204e-06, 'dropout_rate': 0.36709708041077455, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 51: Value=0.006984899345242497, Params={'hidden_dim': 72, 'num_layers': 5, 'learning_rate': 0.0003306690034328004, 'weight_decay': 0.0002769491200147081, 'dropout_rate': 0.23229114516518087, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 52: Value=0.006303168450464741, Params={'hidden_dim': 56, 'num_layers': 4, 'learning_rate': 0.0003457777298697512, 'weight_decay': 0.0003298259607237154, 'dropout_rate': 0.2652994174013675, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 53: Value=0.006096296850403213, Params={'hidden_dim': 59, 'num_layers': 3, 'learning_rate': 0.00023378723789414075, 'weight_decay': 0.000659235651921373, 'dropout_rate': 0.2595529213708681, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 54: Value=0.006321028669092676, Params={'hidden_dim': 57, 'num_layers': 3, 'learning_rate': 0.0002411580633913453, 'weight_decay': 0.0006889980525406817, 'dropout_rate': 0.27588436472365346, 'optimizer': 'RAdam', 'activation_function': 'tanh'}
Trial 55: Value=0.022215761250792786, Params={'hidden_dim': 57, 'num_layers': 3, 'learning_rate': 0.00023069689650620853, 'weight_decay': 0.0006702807990494508, 'dropout_rate': 0.25733753442888996, 'optimizer': 'SGD', 'activation_function': 'tanh'}
Trial 56: Value=0.004947196052550195, Params={'hidden_dim': 51, 'num_layers': 2, 'learning_rate': 0.0004812694264479033, 'weight_decay': 0.0014008937254784287, 'dropout_rate': 0.24998498627791374, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 57: Value=0.004833661000744122, Params={'hidden_dim': 50, 'num_layers': 2, 'learning_rate': 0.00019890391195316294, 'weight_decay': 0.000997790173165954, 'dropout_rate': 0.2539646381365557, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 58: Value=0.004904804047564042, Params={'hidden_dim': 49, 'num_layers': 2, 'learning_rate': 0.00017085240709394166, 'weight_decay': 0.0013141526258580198, 'dropout_rate': 0.25713257068274, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 59: Value=0.007397933130048093, Params={'hidden_dim': 48, 'num_layers': 2, 'learning_rate': 8.775416596882596e-05, 'weight_decay': 0.00405049650371004, 'dropout_rate': 0.2111950621309395, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 60: Value=0.005078210666856503, Params={'hidden_dim': 24, 'num_layers': 2, 'learning_rate': 0.0001584849483508572, 'weight_decay': 0.0012638853958840445, 'dropout_rate': 0.25101029327570235, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 61: Value=0.005064980327404347, Params={'hidden_dim': 27, 'num_layers': 2, 'learning_rate': 0.00015555096784856416, 'weight_decay': 0.0012097164336077413, 'dropout_rate': 0.2512057789557815, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 62: Value=0.004992759484496327, Params={'hidden_dim': 20, 'num_layers': 2, 'learning_rate': 0.00017633171381217381, 'weight_decay': 0.0009986408966403536, 'dropout_rate': 0.2524961587736586, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 63: Value=0.005183335137409412, Params={'hidden_dim': 19, 'num_layers': 2, 'learning_rate': 0.00015097151554506005, 'weight_decay': 0.0013868577860587554, 'dropout_rate': 0.2486240460813318, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 64: Value=0.005119851390417091, Params={'hidden_dim': 21, 'num_layers': 2, 'learning_rate': 0.0001381371858372896, 'weight_decay': 0.0014415217302956808, 'dropout_rate': 0.25142091111121617, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 65: Value=0.030287584103907583, Params={'hidden_dim': 24, 'num_layers': 2, 'learning_rate': 9.916541684303617e-05, 'weight_decay': 0.001426595616234439, 'dropout_rate': 0.2856485558176874, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 66: Value=0.008697156958510786, Params={'hidden_dim': 27, 'num_layers': 2, 'learning_rate': 4.505107413755219e-05, 'weight_decay': 0.004404860360801551, 'dropout_rate': 0.3075853203098282, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 67: Value=0.012270975625569301, Params={'hidden_dim': 16, 'num_layers': 3, 'learning_rate': 0.0001395182449007387, 'weight_decay': 0.0010414312926392152, 'dropout_rate': 0.254845103205986, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 68: Value=0.005788524075546711, Params={'hidden_dim': 22, 'num_layers': 2, 'learning_rate': 0.00018534227009601176, 'weight_decay': 0.002807694356215094, 'dropout_rate': 0.28520099168033475, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 69: Value=0.01674360872830305, Params={'hidden_dim': 34, 'num_layers': 4, 'learning_rate': 1.7335261469815914e-05, 'weight_decay': 0.006368025163560767, 'dropout_rate': 0.18454623733449077, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 70: Value=0.011889212571194914, Params={'hidden_dim': 10, 'num_layers': 3, 'learning_rate': 6.712698914616779e-05, 'weight_decay': 0.0011034387340458289, 'dropout_rate': 0.32890608757235396, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 71: Value=0.004986206418152701, Params={'hidden_dim': 19, 'num_layers': 2, 'learning_rate': 0.00017778498495144127, 'weight_decay': 0.00046279814300435044, 'dropout_rate': 0.2513822192624579, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 72: Value=0.005082997003559178, Params={'hidden_dim': 19, 'num_layers': 2, 'learning_rate': 0.00018512190308131254, 'weight_decay': 0.0004446270287512382, 'dropout_rate': 0.2154803591104134, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 73: Value=0.016968605527076724, Params={'hidden_dim': 18, 'num_layers': 3, 'learning_rate': 0.0002028697748722435, 'weight_decay': 0.0004230804684324771, 'dropout_rate': 0.2154818215057854, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 74: Value=0.006365888762664071, Params={'hidden_dim': 13, 'num_layers': 2, 'learning_rate': 0.0001930755154432818, 'weight_decay': 0.0024103065421870653, 'dropout_rate': 0.26493457966934986, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 75: Value=0.018801504807090013, Params={'hidden_dim': 25, 'num_layers': 4, 'learning_rate': 0.00010784358266166735, 'weight_decay': 0.00020213528562511266, 'dropout_rate': 0.20679914522419618, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 76: Value=0.029744885305190604, Params={'hidden_dim': 31, 'num_layers': 3, 'learning_rate': 8.546348116440042e-05, 'weight_decay': 0.0009500940955937818, 'dropout_rate': 0.17118318624336745, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 77: Value=0.0047820024056787, Params={'hidden_dim': 39, 'num_layers': 2, 'learning_rate': 0.00016207018664749574, 'weight_decay': 0.00048177097601457294, 'dropout_rate': 0.2444776040299145, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 78: Value=0.006689094631951237, Params={'hidden_dim': 38, 'num_layers': 4, 'learning_rate': 0.00016445011692101032, 'weight_decay': 0.0018304365531646672, 'dropout_rate': 0.29715182447989646, 'optimizer': 'Adam', 'activation_function': 'leaky_relu'}
Trial 79: Value=0.007230318349682074, Params={'hidden_dim': 39, 'num_layers': 2, 'learning_rate': 0.0002703787333640993, 'weight_decay': 0.006452028202164236, 'dropout_rate': 0.2439713952584781, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 80: Value=0.004828983984592974, Params={'hidden_dim': 47, 'num_layers': 3, 'learning_rate': 0.00011191185708740378, 'weight_decay': 0.00048240882391274395, 'dropout_rate': 0.2790891767967028, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 81: Value=0.0048545865796135465, Params={'hidden_dim': 49, 'num_layers': 2, 'learning_rate': 0.00012233575132460377, 'weight_decay': 0.0009331161925663817, 'dropout_rate': 0.2797847981279203, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 82: Value=0.004810919095211405, Params={'hidden_dim': 48, 'num_layers': 3, 'learning_rate': 0.00012187114390976658, 'weight_decay': 0.00044319494825211143, 'dropout_rate': 0.3145373979082988, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 83: Value=0.048308028240144, Params={'hidden_dim': 47, 'num_layers': 3, 'learning_rate': 0.00010120999462251063, 'weight_decay': 0.00047952858764433766, 'dropout_rate': 0.3463739070677572, 'optimizer': 'NAdam', 'activation_function': 'leaky_relu'}
Trial 84: Value=0.01856325438953315, Params={'hidden_dim': 34, 'num_layers': 3, 'learning_rate': 0.00011900320284289665, 'weight_decay': 0.00019774217933486683, 'dropout_rate': 0.3171476387642162, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 85: Value=0.03937279169040278, Params={'hidden_dim': 51, 'num_layers': 4, 'learning_rate': 5.261189534530333e-05, 'weight_decay': 0.00013211105154030766, 'dropout_rate': 0.28003331190657255, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 86: Value=0.022449656339226517, Params={'hidden_dim': 43, 'num_layers': 19, 'learning_rate': 7.170508349130171e-05, 'weight_decay': 0.00027175321720280117, 'dropout_rate': 0.267725052902213, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 87: Value=0.004848086955108071, Params={'hidden_dim': 64, 'num_layers': 2, 'learning_rate': 0.0001329703635887936, 'weight_decay': 0.0007734672416714797, 'dropout_rate': 0.3136188422530691, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 88: Value=0.02175926207223088, Params={'hidden_dim': 51, 'num_layers': 16, 'learning_rate': 0.00012993013456935587, 'weight_decay': 0.0005319648735609285, 'dropout_rate': 0.3409269981561741, 'optimizer': 'RMSprop', 'activation_function': 'sigmoid'}
Trial 89: Value=0.05454352406177309, Params={'hidden_dim': 65, 'num_layers': 3, 'learning_rate': 2.900041716307283e-05, 'weight_decay': 0.00035395790248856545, 'dropout_rate': 0.3087825868057067, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 90: Value=0.005661312115356321, Params={'hidden_dim': 45, 'num_layers': 3, 'learning_rate': 9.234117603838675e-05, 'weight_decay': 0.0021350777645739102, 'dropout_rate': 0.2968720817784444, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 91: Value=0.005796583995033361, Params={'hidden_dim': 5, 'num_layers': 2, 'learning_rate': 0.00021194009776479415, 'weight_decay': 0.0009314183290166876, 'dropout_rate': 0.28141192100424584, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 92: Value=0.005285519273963209, Params={'hidden_dim': 39, 'num_layers': 2, 'learning_rate': 0.00012310296244454714, 'weight_decay': 0.001728575829617198, 'dropout_rate': 0.31639207804669683, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 93: Value=0.005955564434555399, Params={'hidden_dim': 61, 'num_layers': 4, 'learning_rate': 0.0002697303983192429, 'weight_decay': 0.0008014350306146511, 'dropout_rate': 0.3650431003873939, 'optimizer': 'Adam', 'activation_function': 'leaky_relu'}
Trial 94: Value=0.006630029732438261, Params={'hidden_dim': 42, 'num_layers': 3, 'learning_rate': 0.00010506582977773052, 'weight_decay': 0.0032632542947576486, 'dropout_rate': 0.29337689123196864, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 95: Value=0.032470152509907244, Params={'hidden_dim': 52, 'num_layers': 2, 'learning_rate': 7.778587447162153e-05, 'weight_decay': 3.305857900557663e-08, 'dropout_rate': 0.2711814880789458, 'optimizer': 'NAdam', 'activation_function': 'leaky_relu'}
Trial 96: Value=0.044080772440802475, Params={'hidden_dim': 30, 'num_layers': 3, 'learning_rate': 5.539650331661708e-05, 'weight_decay': 0.00029190074388494805, 'dropout_rate': 0.2411158242725153, 'optimizer': 'SGD', 'activation_function': 'leaky_relu'}
Trial 97: Value=0.004890473786139158, Params={'hidden_dim': 67, 'num_layers': 2, 'learning_rate': 0.00045278280437385684, 'weight_decay': 0.0005545158458327449, 'dropout_rate': 0.2227291709873487, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 98: Value=0.005047648954264031, Params={'hidden_dim': 70, 'num_layers': 4, 'learning_rate': 0.00040901546045046523, 'weight_decay': 0.0005373770451562883, 'dropout_rate': 0.23415497313960984, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 99: Value=0.005369923297723494, Params={'hidden_dim': 35, 'num_layers': 2, 'learning_rate': 0.0005772061924476545, 'weight_decay': 0.00016747699718769958, 'dropout_rate': 0.22110706000947472, 'optimizer': 'RMSprop', 'activation_function': 'sigmoid'}
Trial 100: Value=0.006959205330173925, Params={'hidden_dim': 78, 'num_layers': 3, 'learning_rate': 0.00030384040779416155, 'weight_decay': 0.004420315744449902, 'dropout_rate': 0.3344033171776859, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 101: Value=0.004801136125414707, Params={'hidden_dim': 47, 'num_layers': 2, 'learning_rate': 0.0004902950989238515, 'weight_decay': 0.00081592123300803, 'dropout_rate': 0.26130008805442423, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 102: Value=0.0052230622034596386, Params={'hidden_dim': 48, 'num_layers': 2, 'learning_rate': 0.0008268049209453865, 'weight_decay': 0.0007407989220012625, 'dropout_rate': 0.2658931748531189, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
Trial 103: Value=0.005046267274667335, Params={'hidden_dim': 65, 'num_layers': 2, 'learning_rate': 0.00048667809713388063, 'weight_decay': 0.0004008953711726619, 'dropout_rate': 0.30595345904858623, 'optimizer': 'RMSprop', 'activation_function': 'leaky_relu'}
